[Item Stats]|en|ru
slow_target|Slow Target| Замедление цели
extra_gold|Extra Gold from kills| Дополнительное золото за убийства
merchant_prices|Merchant prices| Цены торговцев
poison_length_reduced|Poison Length Reduced| Длительность яда уменьшена
faster_hit_recovery|Faster Hit Recovery|Ускоренное восстановление после удара
mana_costs|Mana Cost Reduced| Затраты маны уменьшены
ignore_magic_resist|Ignore Arcane Resistance| Игнорирование сопротивления тайной магии
ignore_cold_resist|Ignore Cold Resistance| Игнорирование сопротивления холоду
ignore_fire_resist|Ignore Fire Resistance| Игнорирование сопротивления огню
ignore_poison_resist|Ignore Poison Resistance| Игнорирование сопротивления яду
ignore_lightning_resist|Ignore Lightning Resistance| Игнорирование сопротивления молнии
ignore_all_resists|Ignore All Resistance| Игнорирование всех сопротивлений
attack_damage|Attack Damage| Урон от атаки
phasing|Phasing| Прохождение сквозь существ
jumping_power|Jumping Power| Сила прыжка
enhanced_damage|Enhanced Damage| Повышенный урон
enhanced_defense|Enhanced Defense| Улучшенная защита
enhanced_damage_per_level|Enhanced Damage per level| Повышенный урон за уровень
enhanced_defense_per_level|Enhanced Defense per level| Улучшенная защита за уровень
piercing|Piercing| Пронзание
damage_per_level|Physical Damage per level|Физический урон за уровень
explosion_damage|Explosion Damage| Урон от взрыва
explosion_aoe|Explosion AoE| Область взрыва
explosion_skills|Explosion Skills| Умения взрыва
phys_taken_cold|Physical Damage taken as Cold|Физический урон получается в виде холода
phys_taken_fire|Physical Damage taken as Fire|Физический урон получается в виде огня
phys_taken_arcane|Physical Damage taken as Arcane|Физический урон получается в виде тайной магии
phys_taken_lightning|Physical Damage taken as Lightning|Физический урон получается в виде молнии
damage_taken_mana|Damage taken recouped as Mana| Полученный урон восполняется в виде маны
damage_taken_life|Damage taken recouped as Life| Полученный урон восполняется в виде здоровья
singular_skill|Singular Skills| Особые умения
singular_skill_class|Singular Skills (Class)| Особые умения (класс)
physical_skills|Physical Skills| Физические умения
cold_skills|Cold Skills| Умения холода
fire_skills|Fire Skills| Умения огня
arcane_skills|Arcane Skills|Умения тайной магии
poison_skills|Poison Skills| Умения яда
lightning_skills|Lightning Skills|Умения молнии
half_freeze_duration|Half Freeze Duration| Время заморозки уменьшено вдвое
cannot_be_frozen|Cannot be Frozen| Невозможно заморозить
summon_life_p|Summon Life %| Здоровье призыва %
summon_reduction|Summon Damage Reduction| Снижение урона призыва
summon_resists|Summon Resistances|Сопротивления призыва
summon_amount|Summon Amount|Количество призыва
summon_skills|Summon Skills| Умения призыва
summon_damage_p|Summon Damage %| Урон призыва %
summon_attack_speed|Summon Attack Speed| Скорость атаки призыва
summon_movement_speed|Summon Movement Speed| Скорость передвижения призыва
sentry_skills|Sentry Skills| Умения турелей
sentry_damage_p|Sentry Damage %| Урон турелей %
sentry_amount|Sentry Amount| Количество турелей
sentry_attack_speed|Sentry Attack Speed| Скорость атаки турелей
sentry_duration|Sentry Duration| Длительность турелей
sub_skills|Sub Skills|Дополнительные умения
guardian_damage|Guardian Damage|Урон стражей
guardian_burst|Guardian Chance to Burst|Шанс стражей на доп. атаку
guardian_attack_speed|Guardian Attack Speed|Скорость атаки стражей
guardian_attack_range|Guardian Attack Range|Дальность атаки стражей
guardian_duration|Guardian Duration|Длительность стражей
extra_damage_stunned|Extra damage to Stunned|Доп. урон по оглушенным
extra_damage_bleed|Extra damage to Bleeding|Доп. урон по кровоточащим
extra_damage_frozen|Extra damage to Frozen|Доп. урон по замороженным
extra_damage_poisoned|Extra damage to Poisoned|Доп. урон по отравленным
extra_damage_burning|Extra damage to Burning|Доп. урон по горящим
extra_damage_stasis|Extra damage to Stasis|Доп. урон по целям в стазисе
extra_damage_spellburn|Extra Damage to Shadow Burning|Доп. урон по целям с теневым ожогом
extra_damage_frostburn|Extra Damage to Frost Bitten|Доп. урон по обмороженным целям
extra_damage_ailments|Extra Damage to Ailments|Доп. урон по целям с состояниями
||
frequency_bleed|Increased Bleeding Frequency|Увеличенная частота кровотечения
frequency_poisoned|Increased Poisoned Frequency|Увеличенная частота отравления
frequency_burning|Increased Burning Frequency|Увеличенная частота горения
frequency_stasis|Increased Stasis Frequency|Увеличенная частота стазиса
frequency_spellburn|Increased Shadow Burning Frequency|Увеличенная частота теневого горения
frequency_frostburn|Increased Frost Bite Frequency|Увеличенная частота обморожения
frequency_ailments|Increased Ailment Frequency|Увеличенная частота состояний
||
increased_bleed_damage|Increased Bleeding Damage|Увеличенный урон от кровотечения
increased_poisoned_damage|Increased Poisoned Damage|Увеличенный урон от отравления
increased_stasis_damage|Increased Stasis Damage|Увеличенный урон от стазиса
increased_shadow_burn_damage|Increased Shadow Burning Damage|Увеличенный урон от теневого горения
increased_frost_bite_damage|Increased Frost Bite Damage|Увеличенный урон от обморожения
increased_burning_damage|Increased Burning Damage|Увеличенный урон от горения
ailment_crit_chance|Ailment Critical Chance|Шанс критического удара состоянием
ailment_crit_damage|Ailment Critical Damage|Критический урон состояния
spell_crit_chance|Spell Critical Chance|Шанс критического удара заклинанием
spell_crit_damage|Spell Critical Damage|Критический урон заклинания
flask_mana_replenish_p|Flask Mana Replenish %|Восполнение маны флаконом %
flask_life_replenish_p|Flask Life Replenish %|Восполнение здоровья флаконом %
flask_mana_instant|Flask Instant Mana Replenish|Мгновенное восполнение маны флаконом
flask_life_instant|Flask Instant Life Replenish|Мгновенное восполнение здоровья флаконом
flask_duration_p|Flask Duration|Длительность зелья
flask_stacks|Flask Extra Stacks|Дополнительные заряды зелья
flask_stacks_kill|Flask Stacks Recovered Per Kill|Зарядов зелья восстановлено за убийство
flask_stacks_regen|Flask Stacks Recovered|Зарядов зелья восстановлено
flask_cooldown|Flask Cooldown|Перезарядка зелья
intelligence_skill_damage|Intelligence Converted to Magic Skill Damage|Интеллект преобразуется в урон магических умений
intelligence_lightning|Intelligence Converted to Lightning Skill Damage|Интеллект преобразуется в урон умений молнии
intelligence_fire|Intelligence Converted to Fire Skill Damage|Интеллект преобразуется в урон умений огня
intelligence_cold|Intelligence Converted to Cold Skill Damage|Интеллект преобразуется в урон умений холода
intelligence_arcane|Intelligence Converted to Arcane Skill Damage|Интеллект преобразуется в урон умений тайной магии
intelligence_poison|Intelligence Converted to Poison Skill Damage|Интеллект преобразуется в урон умений яда
vitality_attack_damage|Vitality Converted to Attack Damage|Живучесть преобразуется в урон от атак
vitality_skill_damage|Vitality Converted to Magic Skill Damage|Живучесть преобразуется в урон магических умений
vitality_lightning|Vitality Converted to Lightning Skill Damage|Живучесть преобразуется в урон умений молнии
vitality_fire|Vitality Converted to Fire Skill Damage|Живучесть преобразуется в урон умений огня
vitality_cold|Vitality Converted to Cold Skill Damage|Живучесть преобразуется в урон умений холода
vitality_arcane|Vitality Converted to Arcane Skill Damage|Живучесть преобразуется в урон умений тайной магии
vitality_poison|Vitality Converted to Poison Skill Damage|Живучесть преобразуется в урон умений яда
energy_skill_damage|Energy Converted to Magic Skill Damage|Энергия преобразуется в урон магических умений
energy_lightning|Energy Converted to Lightning Skill Damage|Энергия преобразуется в урон умений молнии
energy_fire|Energy Converted to Fire Skill Damage|Энергия преобразуется в урон умений огня
energy_cold_damage|Energy Converted to Cold Skill Damage|Энергия преобразуется в урон умений холода
energy_arcane|Energy Converted to Arcane Skill Damage|Энергия преобразуется в урон умений тайной магии
energy_poison|Energy Converted to Poison Skill Damage|Энергия преобразуется в урон умений яда
armor_skill_damage|Armor Converted to Magic Skill Damage|Броня преобразуется в урон магических умений
armor_attack_damage|Armor Converted to Attack Damage|Броня преобразуется в урон от атак
||
fcr_movement_speed|Faster Cast Rate Converted to Movement Speed|Скорость сотворения заклинаний преобразуется в скорость передвижения
||
[Stat Explanations]||
stat_desc_aps|Amount of attacks performed in a second.| Количество атак, совершаемых за секунду.
stat_desc_attack_speed|Amount of increased Attack Speed. Percentual Attack Speed is always calculated using 0.75 Attacks Per Second.| Величина увеличения скорости атаки. Процентная скорость атаки всегда рассчитывается на основе 0,75 атак в секунду.
stat_desc_movement_speed|Amount of increased Movement Speed.| Величина увеличения скорости передвижения.
stat_desc_strength|Every point in Strength increases your Attack Damage by 1%.| Каждое очко силы увеличивает урон от атак на 1%.
stat_desc_dexterity|Every point in Dexterity increases your Attack Rating by 8 and your Critical Damage by 0.125%.| Каждое очко ловкости увеличивает рейтинг атаки на 8, а критический урон — на 0,125%.
stat_desc_intelligence|Every point in Intelligence increases Magic Skill Damage dealt.| Каждое очко интеллекта увеличивает наносимый урон магических умений.
stat_desc_energy|Every point in Energy increases your Mana by 4. Mana gained from Energy also increases your base Mana Replenish.| Каждое очко энергии увеличивает ману на 4. Мана от энергии также увеличивает базовое восполнение маны.
stat_desc_armor|Every point in Armor increases your Defense by 5.| Каждое очко брони увеличивает защиту на 5.
stat_desc_vitality|Every point in Vitality increases your Life by 5. Life gained from Vitality also increases your base Life Replenish.|Каждое очко живучести увеличивает здоровье на 5. Здоровье от живучести также увеличивает базовое восполнение здоровья.
stat_desc_all_skills|Increases the level of all Skills.| Повышает уровень всех умений.
stat_desc_pointsLeft|Points left to allocate into any of the primary stats. You can allocate 4 points by pressing [input_attribute_add_multi].| Осталось очков характеристик. Вы можете распределить 4 очка, нажав [input_attribute_add_multi].
stat_desc_cold_skills|Increases the level of all Cold Skills.| Повышает уровень всех умений холода.
stat_desc_lightning_skills|Increases the level of all Lightning Skills.| Повышает уровень всех умений молнии.
stat_desc_fire_skills|Increases the level of all Fire Skills.| Повышает уровень всех умений огня.
stat_desc_magic_skills|Increases the level of all Arcane Skills.| Повышает уровень всех умений тайной магии.
stat_desc_poison_skills|Increases the level of all Poison Skills.| Повышает уровень всех умений яда.
stat_desc_physical_skills|Increases the level of all Physical Skills.| Повышает уровень всех физических умений.
stat_desc_damage|The amount of damage your attacks deal.| Количество урона, наносимого вашими атаками.
stat_desc_attack_rating|Increases your chance of hitting enemies with attacks.| Увеличивает шанс попадания по врагам атаками.
stat_desc_faster_cast_rate|Increases your Casting speed. Faster Cast Rate is always calculated using 1 Cast Per Second.| Увеличивает скорость сотворения заклинаний. Скорость сотворения всегда рассчитывается на основе 1 заклинания в секунду.
stat_desc_skill_damage|Increases the damage of your Skills excluding skills which deal Attack Damage. This stat is calculated on top of the final value.| Увеличивает урон умений, за исключением тех, что наносят урон от атаки. Рассчитывается поверх конечного значения.
stat_desc_critical_damage|Amount of your Critical Strike damage. Only affects physical attacks.| Величина критического урона. Влияет только на физические атаки.
stat_desc_critical_chance|Chance for a Critical Strike when striking. Only affects physical attacks.|Шанс критического удара. Влияет только на физические атаки.
stat_desc_physical_damage|Physical Damage added to your attacks.| К атакам добавляется физический урон.
stat_desc_magic_damage|Arcane Damage added to your attacks.| К атакам добавляется урон тайной магии.
stat_desc_cold_damage|Cold Damage added to your attacks.| К атакам добавляется урон холода.
stat_desc_fire_damage|Fire Damage added to your attacks.| К атакам добавляется урон огня.
stat_desc_poison_damage|Poison Damage added to your attacks.| К атакам добавляется урон яда.
stat_desc_lightning_damage|Lightning Damage added to your attacks.| К атакам добавляется урон молнии.
stat_desc_magic_damage_p|Increases the damage of your Arcane skills. This stat is calculated on top of the final value.| Увеличивает урон умений тайной магии. Рассчитывается поверх конечного значения.
stat_desc_cold_damage_p|Increases the damage of your Cold skills. This stat is calculated on top of the final value.| Увеличивает урон умений холода. Рассчитывается поверх конечного значения.
stat_desc_fire_damage_p|Increases the damage of your Fire skills. This stat is calculated on top of the final value.| Увеличивает урон умений огня. Рассчитывается поверх конечного значения.
stat_desc_poison_damage_p|Increases the damage of your Poison skills. This stat is calculated on top of the final value.| Увеличивает урон умений яда. Рассчитывается поверх конечного значения.
stat_desc_lightning_damage_p|Increases the damage of your Lightning skills. This stat is calculated on top of the final value.| Увеличивает урон умений молнии. Рассчитывается поверх конечного значения.
stat_desc_life|Your Maximum Life.| Ваше максимальное здоровье.
stat_desc_mana|Your Maximum Mana.| Ваш максимальный запас маны.
stat_desc_life_replenish|Amount of Life replenished each second.| Количество здоровья, восполняемое каждую секунду.
stat_desc_mana_replenish|Amount of Mana replenished each second.| Количество маны, восполняемое каждую секунду.
stat_desc_life_per_hit|Amount of Life replenished when striking an enemy.|Количество здоровья, восполняемое при ударе по врагу.
stat_desc_mana_per_hit|Amount of Mana replenished when striking an enemy.| Количество маны, восполняемое при ударе по врагу.
stat_desc_cooldown_reduction|Increases cooldown recovery rate.| Увеличивает скорость восстановления умений.
stat_desc_cooldown_reduction_potion|Increases Flask cooldown recovery rate.| Увеличивает скорость восстановления зелья.
stat_desc_life_after_kill|Amount of Life replenished after killing a monster.| Количество здоровья, восполняемое после убийства монстра.
stat_desc_mana_after_kill|Amount of Mana replenished after killing a monster.| Количество маны, восполняемое после убийства монстра.
stat_desc_experience_gain|Increases your experience gained from killing monsters.| Увеличивает опыт, получаемый за убийство монстров.
stat_desc_magic_find|Increased chance of finding magic items. (Mercenary’s Magic Find is added to player Magic Find on kills).| Увеличен шанс найти магические предметы. (MF наемника добавляется к MF игрока при убийствах).
stat_desc_block_rate|The chance to block incoming attacks and projectiles.| Шанс блокировать входящие атаки и снаряды.
stat_desc_defense|Defense lowers the chance of enemies hitting you with Physical Attacks or Projectiles.| Защита снижает вероятность попадания по вам физических атак или снарядов.
stat_desc_damage_reduced|Reduces a flat amount of damage from every source. This stat is additive and does not scale from anything.| Уменьшает фиксированное количество урона от любого источника. Является аддитивным и не масштабируется.
stat_desc_reduction|Reduces incoming Physical Damage| Уменьшает входящий физический урон
stat_desc_magic_reduction|Reduces incoming Magic Damage such as Cold, Fire, Lightning, Poison and Arcane| Уменьшает входящий магический урон (холод, огонь, молния, яд и тайная магия)
stat_desc_damage_return|Returns a portion of incoming damage back to the attacker.| Возвращает часть полученного урона атакующему.
stat_desc_all_resistances|Increases your resistance against damage from All Elements.| Увеличивает сопротивление урону от всех стихий.
stat_desc_magic_resistance|Increases your resistance to Arcane damage.| Увеличивает сопротивление урону тайной магии.
stat_desc_cold_resistance|Increases your resistance to Cold damage.|Увеличивает сопротивление урону холода.
stat_desc_fire_resistance|Increases your resistance to Fire damage.| Увеличивает сопротивление урону огня.
stat_desc_poison_resistance|Increases your resistance to Poison damage.| Увеличивает сопротивление урону яда.
stat_desc_lightning_resistance|Increases your resistance to Lightning damage.| Увеличивает сопротивление урону молнии.
stat_desc_fire_absorb|Absorbs a portion of all incoming Fire Damage as healing.| Поглощает часть входящего урона от огня в виде исцеления.
stat_desc_cold_absorb|Absorbs a portion of all incoming Cold Damage as healing.| Поглощает часть входящего урона от холода в виде исцеления.
stat_desc_lightning_absorb|Absorbs a portion of all incoming Lightning Damage as healing.| Поглощает часть входящего урона от молнии в виде исцеления.
stat_desc_light_radius|Effects your visibility range and base movement speed scaling.| Влияет на радиус обзора и масштабирование базовой скорости передвижения.
stat_desc_mining|Your Mining skill level.| Ваш уровень навыка горного дела.
stat_desc_jewelcrafting|Your Jewelcrafting skill level.| Ваш уровень навыка ювелирного дела.
stat_desc_herbalism|Your Herbalism skill level.| Ваш уровень навыка травничества.
stat_desc_deadly_blow|Deadly Blow increases your Physical Damage by 35%| Смертельный удар увеличивает физический урон на 35%.
stat_desc_crushing_blow|Crushing Blow breaks enemy armor by 10% stacking up to 5 times increasing physical damage taken by enemies.| Сокрушительный удар разрушает броню противника на 10% (суммируется до 5 раз), увеличивая получаемый им физический урон.
stat_desc_open_wounds|Open Wounds bleeds target enemy for 20% of your Physical Damage.| Открытые раны вызывают у противника кровотечение, наносящее 20% от вашего физического урона.
stat_desc_ignore_defense|Ignores enemy Defense rating making it easier to hit the target.| Игнорирует защиту противника, облегчая попадание в цель.
stat_desc_slow_target|Attacks slow enemy Movement and Attack Speed.| Атаки замедляют передвижение и скорость атаки противника.
stat_desc_extra_gold|Extra gold dropped from monsters when killed.| Дополнительное золото, выпадающее из убитых монстров.
stat_desc_merchant_prices|Discounted prices when buying from the Merchant.|Скидки при покупке у торговца.
stat_desc_poison_length_reduced|Lowered poison debuff duration.| Уменьшена продолжительность действия эффекта отравления.
stat_desc_ignore_magic_resist|The amount of enemy Arcane resistance ignored when dealing Arcane Damage.| Величина сопротивления тайной магии противника, игнорируемая при нанесении урона тайной магией.
stat_desc_ignore_cold_resist|The amount of enemy Cold resistance ignored when dealing Cold Damage.| Величина сопротивления холоду противника, игнорируемая при нанесении урона холодом.
stat_desc_ignore_fire_resist|The amount of enemy Fire resistance ignored when dealing Fire Damage.| Величина сопротивления огню противника, игнорируемая при нанесении урона огнем.
stat_desc_ignore_poison_resist|The amount of enemy Poison resistance ignored when dealing Poison Damage.| Величина сопротивления яду противника, игнорируемая при нанесении урона ядом.
stat_desc_ignore_lightning_resist|The amount of enemy Lightning resistance ignored when dealing Lightning Damage.| Величина сопротивления молнии противника, игнорируемая при нанесении урона молнией.
stat_desc_faster_hit_recovery|Increases the speed of recovery after being hit by an attack or projectile.| Увеличивает скорость восстановления после получения удара или попадания снаряда.
||
[Talent Tooltips]||
tal_summon_amount|Summon Amount| Количество призыва
tal_duration|Duration| Длительность
tal_slow_duration|Slow Duration| Длительность замедления
tal_slow_power|Slow Power| Сила замедления
tal_speed|Speed| Скорость
tal_stun_duration|Stun Duration| Длительность оглушения
tal_freeze_duration|Freeze Duration| Длительность заморозки
tal_hex_duration|Hex Duration| Длительность сглаза
tal_disarm_duration|Disarm Duration| Длительность разоружения
tal_root_duration|Root Duration| Длительность обездвиживания
tal_gold|Gold Amount| Количество золота
tal_recall|Recall Summons| Отозвать прислужников
tal_distance|Distance| Расстояние
tal_seconds|s| с
tal_minutes|m| м
tal_size|Size| Размер
tal_targets|Targets| Цели
tal_range|Range| Дальность
tal_projectiles|Projectiles| Снаряды
tal_magic_find|Magic Find| Шанс найти маг. предмет
tal_extra_gold|Extra Gold from kills| Дополнительное золото за убийства
tal_movement_speed|Movement Speed| Скорость передвижения
tal_attack_speed|Attack Speed| Скорость атаки
tal_attack_rating|Attack Rating| Рейтинг атаки
tal_critical_chance|Critical Strike Chance| Шанс критического удара
tal_critical_damage|Critical Strike Damage| Урон критического удара
tal_spell_crit_chance|Spell Critical Chance| Шанс крит. удара заклинанием
tal_spell_crit_damage|Spell Critical Damage| Критический урон заклинания
tal_life_replenish|Life Replenish| Восполнение здоровья
tal_mana_replenish|Mana Replenish| Восполнение маны
tal_magic_damage_taken|Magic Damage Reduction| Снижение магического урона
tal_damage_taken|Physical Damage Reduction| Снижение физического урона
tal_all_damage_taken|Damage Reduction| Снижение урона
tal_damage_return|Damage Return| Возврат урона
tal_total_damage_return|Total Damage Return| Общий возврат урона
tal_defense|Defense|Защита
tal_cooldown|Skill Haste| Скорость восстановления умений
tal_cooldown_belt|Flask Skill Haste| Скорость восстановления зелья
tal_parry_chance|Parry Chance|Шанс парирования
tal_dodge_chance|Dodge Chance| Шанс уклонения
tal_all_resistances|All Resistances| Все сопротивления
tal_aoe|Area of Effect| Область действия
tal_intelligence|Intelligence| Интеллект
tal_energy|Energy| Энергия
tal_healing|Healing| Исцеление
tal_life|Life| Здоровье
tal_mana|Mana| Мана
tal_mana_cost|Mana Cost| Затраты маны
tal_life_after_kill|Life After Kill| Здоровье за убийство
tal_mana_after_kill|Mana After Kill| Мана за убийство
tal_faster_cast_rate|Faster Cast Rate| Скорость сотворения заклинаний
tal_life_steal|Life Steal| Похищение здоровья
tal_mana_steal|Mana Steal| Похищение маны
tal_whirlwind_damage|Whirlwind Damage| Урон вихря
tal_attack_damage|Attack Damage| Урон от атаки
tal_damage_dealt|Damage Dealt| Нанесенный урон
tal_damage_multiplier|Damage Multiplier| Множитель урона
tal_damage|Damage| Урон
tal_of_damage|Of Total Damage| От общего урона
tal_damage_physical|Physical Damage| Физический урон
tal_damage_fire|Fire Damage| Урон огня
tal_damage_cold|Cold Damage| Урон холода
tal_damage_poison|Poison Damage| Урон яда
tal_damage_lightning|Lightning Damage| Урон молнии
tal_damage_magic|Arcane Damage| Урон тайной магии
tal_damage_elemental|Elemental Damage| Стихийный урон
tal_skill_damage|Magic Skill Damage| Урон магических умений
tal_skill_fire_damage|Fire Skill Damage| Урон умений огня
tal_skill_cold_damage|Cold Skill Damage|Урон умений холода
tal_skill_poison_damage|Poison Skill Damage| Урон умений яда
tal_skill_lightning_damage|Lightning Skill Damage| Урон умений молнии
tal_skill_magic_damage|Arcane Skill Damage| Урон умений тайной магии
tal_break_elemental|Elemental Break| Стихийный прорыв
tal_break_armor|Armor Break| Прорыв брони
tal_break_fire|Fire Break| Прорыв огня
tal_break_cold|Cold Break| Прорыв холода
tal_break_poison|Poison Break| Прорыв яда
tal_break_lightning|Lightning Break| Прорыв молнии
tal_break_magic|Arcane Break| Прорыв тайной магии
tal_poisoned_damage|Poisoned Damage| Урон от яда
tal_burning_damage|Burning Damage| Урон от горения
tal_total_burning_damage|Total Burning Damage| Общий урон от горения
tal_bleed_damage|Bleeding Damage| Урон от кровотечения
tal_total_bleed_damage|Total Bleed Damage| Общий урон от кровотечения
tal_plague_damage|Plague Damage| Урон от чумы
tal_stasis_damage|Stasis Damage| Урон от стазиса
tal_shadow_burn_damage|Shadow Burn Damage| Урон от теневого ожога
tal_frostbite_damage|Frostbite Damage| Урон от обморожения
tal_bleed_target|Damage to Bleeding Targets| Урон по кровоточащим целям
tal_chain_damage|Serrated Chain Damage| Урон зазубренной цепи
tal_ignore_armor|Armor Ignored|Игнорирование брони
tal_resistance_fire|Fire Resistance|Сопротивление огню
tal_resistance_cold|Cold Resistance|Сопротивление холоду
tal_resistance_poison|Poison Resistance|Сопротивление яду
tal_resistance_lightning|Lightning Resistance| Сопротивление молнии
tal_resistance_magic|Arcane Resistance|Сопротивление тайной магии
tal_multicast|Multicast| Многократное сотворение
tal_multicast_chance|Multicast chance| Шанс многократного сотворения
tal_mana_restored|Mana Restored| Мана восстановлена
tal_life_to_damage|Physical Damage per 500 Life| Физический урон за каждые 500 здоровья
tal_life_to_cold_damage|Life to Cold Damage| Здоровье в урон холодом
tal_procs|Procs| Срабатывания
tal_bounces|Projectile Bounces| Отскоки снарядов
tal_increased_damage_burning|Damage to Burning targets Increased by|урон по горящим целям увеличен на
tal_increased_damage_poisoned|Damage to Poisoned targets Increased by| урон по отравленным целям увеличен на
tal_increased_damage_plagued|Damage to Plagued targets Increased by| урон по чумным целям увеличен на
tal_increased_damage_frozen|Damage to Frozen targets Increased by| урон по замороженным целям увеличен на
tal_increased_damage_stunned|Damage to Stunned targets Increased by| урон по оглушенным целям увеличен на
tal_increased_damage_bleeding|Damage to Bleeding targets Increased by| урон по кровоточащим целям увеличен на
tal_increased_damage_stasis|Damage to Stasis inflicted targets increased by| урон по целям в стазисе увеличен на
tal_increased_damage_shadow_burn|Damage to Shadow Burning targets increased by| урон по целям с теневым ожогом увеличен на
tal_increased_damage_serrated|Damage to Serrated Chains inflicted targets increased by|урон по целям с зазубренными цепями увеличен на
tal_increased_damage_frostbite|Damage to Frost Bitten targets increased by|урон по обмороженным целям увеличен на
tal_increased_damage_ailments|Damage to monsters with Ailments increased by|урон по монстрам с состояниями увеличен на
tal_experience_gain|Experience Gain Increased by| Получаемый опыт увеличен на
tal_strength|Strength Increased by| Сила увеличена на
tal_vitality|Vitality Increased by| Живучесть увеличена на
tal_command|Command Summons and Mercenary| Командовать прислужниками и наемником
tal_effectiveness|Effectiveness| Эффективность
tal_projectile_speed|Projectile Speed Increased by| Скорость снаряда увеличена на
tal_orbital_speed|Orbital Speed increased by|Скорость орбитальных снарядов увеличена на
tal_damage_per_enemy|Damage per hit Increased by| урон за удар увеличен на
tal_rabies|Rabies| Бешенство
tal_summon_damage|Summon Damage| Урон прислужников
tal_target_defense|Ignore Target Defense| Игнорирование защиты цели
tal_enemy_damage_dealt|Enemy Damage Reduced by| урон врага уменьшен на
tal_chance|Chance| Шанс
tal_oil_spills|Oil Spills| Разливы нефти
tal_shrapnel|Shrapnel| Шрапнель
tal_energy_to_magic_damage|Energy converted to Magic Damage| Энергия преобразуется в магический урон
tal_diminish_reduced|Landing Diminish Reduced| Штраф при приземлении уменьшен
tal_conversion|Conversion| Преобразование
tal_slashes|Slashes| Удары
tal_ricochet_chance|Ricochet Chance| Шанс рикошета
tal_disorientation_level|Disorientation Level| Уровень дезориентации
tal_extra_totems|Extra Totems| Дополнительные тотемы
tal_extra_summons|Extra Summons| Дополнительные прислужники
tal_proc_chance|Proc Chance| Шанс срабатывания
tal_shrine_effect|Shrine Effects| Эффекты святилища
tal_cold_conversion|Conversion to Cold| Преобразование в холод
tal_arcane_conversion|Conversion to Arcane| Преобразование в тайную магию
tal_fire_conversion|Conversion to Fire| Преобразование в огонь
tal_poison_conversion|Conversion to Poison|Преобразование в яд
tal_lightning_conversion|Conversion to Lightning| Преобразование в молнию
tal_lucky_number|Lucky Number| Счастливое число
tal_barrels|Barrels| Бочки
tal_waves|Waves| Волны
tal_shouts|Shouts| Крики
tal_swings|Swings| Взмахи
tal_execute|Execute below| Казнить при здоровье ниже
tal_damage_stored|Damage Stored| Накопленный урон
tal_trails|Trails| Следы
tal_stat_increase|Stat Increase| Увеличение характеристики
tal_extra_stacks|Extra Stacks| Дополнительные заряды
tal_hit_frequency|Hit Frequency| Частота попаданий
tal_chains|Chains| Цепи
tal_additional_summons|Additional Summons| Дополнительные прислужники
tal_max_life_damage|Damage Based on Life| урон на основе здоровья
tal_frequency|Frequency| Частота
tal_aoe_decreased|Area of Effect decreased by| Область действия уменьшена на
tal_damage_taken_increased|Damage Taken Increased by| Получаемый урон увеличен на
tal_permafrost|Permafrost Damage| Урон вечной мерзлоты
tal_movement_diminish|Reduced Movement Diminish| Уменьшенный штраф к движению
tal_reduction|Reduction| Снижение
tal_pull_strength|Pull Strength| Сила притяжения
tal_spin_speed|Spinning Speed| Скорость вращения
tal_corpses|Corpses| Трупы
tal_electrified|Electrified| Электрифицированный
tal_resets|Resets| Сбросы
tal_damage_multiplied|Damage Multiplied by| урон умножен на
tal_stacks|Stacks| Заряды
tal_boss_damage|Damage to Bosses increased by| урон по боссам увеличен на
tal_layer|Layers| Слои
tal_loot_amount|Loot Amount increased by| Количество добычи увеличено на
tal_drop_chance|Drop Chance increased by| Шанс выпадения увеличен на
tal_spawn_chance|Spawn Chance increased by| Шанс появления увеличен на
tal_armor|Armor increased by| Броня увеличена на
tal_per_point_mana|Per Point of Mana| За очко маны
tal_ring_effect|Ring Effectiveness increased by| Эффективность кольца увеличена на
tal_activation_time|Chance for Rapid Activation| Шанс быстрой активации
tal_per_mana|Maximum Mana divided by| Максимальная мана, деленная на
tal_accuracy|Accuracy| Точность
tal_life_conversion|Life Converted to Damage| Здоровье преобразуется в урон
tal_stats|Stats|Характеристики
tal_extra_loot|Extra Loot Amount|Дополнительная добыча
tal_weapon_restrictions|Weapon Restrictions Reduced by|Ограничения на оружие снижены на
tal_ripple_damage|Ripple Damage|Урон пульсации
tal_burning_max_life|Burning based on max life|Горение на основе макс. здоровья
tal_consequent_critical_chance|Consequent Critical Chance|Последующий шанс крит. удара
tal_explosion_delay|Explosion Delay Reduced by|Задержка взрыва уменьшена на
tal_maximum_critical_damage|Maximum Critical Damage|Максимальный критический урон
tal_jagged_damage|Jagged Gauntlet Damage|Урон зазубренной перчатки
tal_rolls|Additional Rolls|Дополнительные броски
tal_drop_rate|Drop Rate Increased by|Шанс выпадения увеличен на
||
[Buff Tooltips]||
buff_heat|Heat|Жар
buff_attack_damage|Attack Damage Increased by| урон от атаки увеличен на
buff_attack_speed|Attack Speed Increased by|скорость атаки увеличена на
buff_attack_rating|Attack Rating Increased by| рейтинг атаки увеличен на
buff_movement_speed|Movement Speed Increased by| скорость передвижения увеличена на
buff_movement_speed_reduced|Movement Speed Decreased by|скорость передвижения уменьшена на
buff_defense|Defense Increased by|защита увеличена на
buff_life|Life Increased by| здоровье увеличено на
