[quest]|en|ru
quest_name_506|Whip It Good| Взбейте его хорошо
quest_description_506|Find Jasper's whip at Mos'Arathim Desert| Найдите кнут Джаспера в пустыне Мос'Аратим.
quest_objective_506_1|Whip collected| Кнут собран
||
quest_name_507|We Are Gonna Be Rich!| Мы будем богаты!
quest_description_507|Find the Ancient Map in Cauflax Tomb| Найдите древнюю карту в гробнице Кофлакса
quest_objective_507_1|Map found| Карта найдена
||
quest_name_508|Raider of the Lost Staff| В поисках утраченного посоха
quest_description_508|Find Staff of Anubis inside Mysterious Pyramid| Найдите Посох Анубиса внутри Таинственной Пирамиды
quest_objective_508_1|Staff found| Персонал найден
||
quest_name_509|Devil's Cabbage| Дьявольская капуста
quest_description_509|Collect herbs for Ragnar in Old Copper Mine| Соберите травы для Рагнара в Старом медном руднике.
quest_objective_509_1|Devil's Cabbage collected| Собранная дьявольская капуста
||
quest_name_510|Search for Hurrdurr – part 1| Поиск Hurrdurr – часть 1
quest_description_510|Find out what happened to Hurrdurr| Узнайте, что случилось с Хуррдурром
quest_objective_510_1|Abandoned Mine searched| Заброшенная шахта найдена
||
quest_name_511|Search for Hurrdurr – part 2| Поиск Хурдурр – часть 2
quest_description_511|Find Hurrdurr in Damien's Altar| Найдите Хуррдурра в алтаре Дэмиена.
quest_objective_511_1|Hurrdurr located| Хуррдурр расположен
quest_objective_511_2|Knights defeated| Рыцари побеждены
quest_objective_511_3|Hurrdurr raptured| Хуррдурр восхищен
||
quest_name_512|Bamboozled| Обманули
quest_description_512|Gather materials for fishing equipment| Собрать материалы для рыболовного снаряжения
quest_objective_512_1|Bamboo sticks| Бамбуковые палочки
quest_objective_512_2|Rod crafted| Стержень изготовлен
||
quest_name_513|Hook on the Line| Крючок на леске
quest_description_513|Find spiderwebs and a viable hook| Найдите паутину и подходящий крючок
quest_objective_513_1|Spiderwebs| Паутина
quest_objective_513_2|Hook| Крюк
||
quest_name_514|Fish for the Greedy| Рыба для жадных
quest_description_514|Find Aki in Temple of Zamjo and rescue him| Найдите Аки в храме Замджо и спасите его.
quest_objective_514_1|King Tuna slain| Король Туна убит
quest_objective_514_2|Aki rescued| Аки спасён
||
quest_name_515|The Eternal Chalice| Вечная Чаша
quest_description_515|Get the Eternal Chalice in the Steam Train|Получите Вечную Чашу в Паровозе
quest_objective_515_1|Eternal Chalice collected| Вечная Чаша собрана
||
quest_name_516|Souls of the Damned| Души Проклятых
quest_description_516|Harvest the souls in Prison, find a seal in Unmarked Graves and purify the souls| Собирайте души в тюрьме
quest_objective_516_1|Souls harvested| Души собраны
quest_objective_516_2|Souls purified| Души очищены
||
||
quest_name_517|Lilith| Лилит
quest_description_517|...| ...
quest_objective_517_1|Kill Lilith| Убить Лилит
quest_objective_517_2|Lilith's Black Heart taken| Черное Сердце Лилит взято
||
quest_name_518|The Perfect Spot| Идеальное место
quest_description_518|Clear the area around Moira's telescope in Deep Space| Очистите территорию вокруг телескопа Мойры в Глубоком космосе.
quest_objective_518_1|Area cleared| Территория очищена
||
quest_name_519|Drink Tea| Пить чай
quest_description_519|Drink stardust infused tea| Пейте чай, настоянный на звездной пыли.
quest_objective_519_1|Tea drunk| Чай выпитый
||
quest_name_520|Stardust Poisoning| Отравление звездной пылью
quest_description_520|Find antidote in Distorted Horizons| Найдите противоядие в Distorted Horizons
quest_objective_520_1|Antidote found| Противоядие найдено
quest_objective_520_2|Antidote consumed| Противоядие потреблено
||
quest_name_521|The Bestest Tea| Лучший чай
quest_description_521|Find ingredients at the Parallel Dimension| Найдите ингредиенты в Parallel Dimension
quest_objective_521_1|Cosmic Roots| Космические Корни
quest_objective_521_2|Nebula Lily| Туманность Лили
quest_objective_521_3|Anti-matter shroom| Антиматерия гриб
quest_objective_521_4|Schrödinger's Cat| Кот Шредингера
||
||
[Additional side quests]||
||
quest_name_600|Olof’s Medicine| Медицина Олофа
quest_description_600|Find Olof’s medicine from an ice crack in Arctic Tundra| Найдите лекарство Олофа в трещине льда в арктической тундре
quest_objective_600_1|Medicine collected| Собранные лекарства
||
||
||
||
||
||
[MAIN QUEST]||
quest_name_1000|Corrupted Nature| Испорченная природа
quest_description_1000|Kill Scorchwood in the River of Inoya.| Убейте Скорчвуда в реке Иноя.
quest_objective_1000_1|Scorchwood killed| Скорчвуд убит
quest_name_1001|Sarcaster's coffee beans| Кофейные зерна Саркастера
quest_description_1001|Retrieve Sarcaster's coffee beans from the Waypoint in Outskirts of Inoya.|Заберите кофейные зерна Саркастера из контрольной точки на окраине Инои.
quest_objective_1001_1|Coffee beans retrieved.| Извлечены кофейные зерна.
quest_name_1002|Bricks.. So many Bricks| Кирпичи.. Так много кирпичей.
quest_description_1002|Collect Bricks from destructible objects anywhere.| Собирайте кирпичи из разрушаемых объектов в любом месте.
quest_objective_1002_1|Bricks collected.| Кирпичи собраны.
quest_name_1003|Hot Water| Горячая вода
quest_description_1003|Collect hot water from The Pumpkin Patch.| Наберите горячей воды на тыквенной грядке.
quest_objective_1003_1|Hot water collected| Горячая вода собрана
quest_objective_1003_2|Kill the Colossal Pumpkin in Pumpkin Cellar| Убейте гигантскую тыкву в тыквенном погребе
quest_name_1021|Purging the Lands| Очищение земель
quest_description_1021|Collect body parts from monsters and bring them to Magister Kujala in the Fields of Battle.| Собирайте части тел монстров и приносите их магистру Куджале на полях битвы.
quest_objective_1021_1|Body parts collected| Собранные части тела
quest_name_1022|Shock Therapy| Шоковая терапия
quest_description_1022|Use the Shocker-9000 to shock monsters.| Используйте Шокерr-9000, чтобы поражать монстров током.
quest_objective_1022_1|Enemies shocked| Враги в шоке
quest_name_1023|Corruptor of the Forest| Осквернитель леса
quest_description_1023|Find Gurag in King’s Throne and kill him! Report to Gunhild Yngouf in Danethorpe.| Найдите Гурага в Королевском Троне и убейте его! Доложите Гунхильд Ингуф в Данеторпе.
quest_objective_1023_1|Gurag slain| Гураг убит
quest_name_1024|Provide your aid| Окажите свою помощь
quest_description_1024|Kill monsters in the lands of Danethorpe. Meet Halstein at the Chilling Lake to claim your reward.| Убивайте монстров в землях Дэнторпа. Встретьтесь с Хальстейном у Холодного озера, чтобы получить свою награду.
quest_objective_1024_1|Frost Goblins slain| Убито ледяных гоблинов
quest_objective_1024_2|Frost Skeletons slain| Убито ледяных скелетов
quest_objective_1024_3|Frost Dragons slain| Убиты ледяные драконы
quest_objective_1024_4|Ice Elementals slain| Убиты ледяные элементали
quest_name_1025|Icy Enchanters| Ледяные Чародеи
quest_description_1025|Interrupt frozen portals in Snowy Mountains and meet me at the entrance of the Glacial Trail!|Прервите замороженные порталы в Снежных горах и встретитесь со мной у входа на Ледниковую тропу!
quest_objective_1025_1|Portals interrupted| Порталы прерваны
quest_name_1026|Death Itself| Сама Смерть
quest_description_1026|Kill Grim Reaper in the Death’s Breach!| Убейте Мрачного Жнеца в Разломе Смерти!
quest_objective_1026_1|Grim Reaper slain| Мрачный Жнец убит
quest_name_1027|Save the Innocent!| Спасите невинных!
quest_description_1027|Escort prisoners to the Waypoint in the Corrupted Oasis.| Сопроводите заключенных к контрольной точке в Оскверненном оазисе.
quest_objective_1027_1|Prisoners saved| Заключенные спасены
quest_name_1028|Purify the sands of Mos’Arathim| Очистите пески Мос'Аратима
quest_description_1028|Slay monsters around the desert and meet me in the second floor of the Pyramid.| Уничтожай монстров по всей пустыне и встреться со мной на втором этаже Пирамиды.
quest_objective_1028_1|Skeletons slain| Скелеты убиты
quest_objective_1028_2|Orcs slain| Орки убиты
quest_objective_1028_3|Desert Beasts slain| Убиты пустынные звери
quest_objective_1028_4|Sand Wasps slain| Песчаные осы убиты
quest_objective_1028_5|Mummies slain| Мумии убиты
quest_objective_1028_6|Shadow Anomalies slain| Аномалии теней уничтожены
quest_name_1029|Protector of Graves| Защитник могил
quest_description_1029|Kill Anubis in the Tomb of the Fallen King!| Убейте Анубиса в Гробнице Падшего Короля!
quest_objective_1029_1|Anubis slain| Анубис убит
quest_name_1030|Dungeon Master| Мастер Подземелий
quest_description_1030|Clear the Old Copper Mine nearby the Old Mining Village!| Очистите старый медный рудник рядом со старой шахтерской деревней!
quest_objective_1030_1|Collector of Bones slain| Собиратель костей убит
quest_objective_1030_2|Goblins Killed| Гоблины убиты
quest_name_1031|Precious Equipment| Драгоценное оборудование
quest_description_1031|Gather mining equipment and purge the undead from Highland Mines, bring the equipment to Thastun in the Corrupted Caves| Соберите горнодобывающее оборудование и очистите Хайленд Майнс от нежити.
quest_objective_1031_1|Mining Equipment Retrieved| Горнодобывающее оборудование получено
quest_objective_1031_2|Cave Slimes killed| Пещерные слизни убиты
quest_objective_1031_3|Skull Crawlers killed| Черепа-ползуны убиты
quest_name_1032|Prove Yourself| Докажи Себя
quest_description_1032|Kill enemies with the Flail.|Убивайте врагов с помощью цепа.
quest_objective_1032_1|Enemies slain| Враги убиты
quest_name_1033|Demon´s Lair| Логово Демона
quest_description_1033|Find and kill the Damned Commander and slay his minions.| Найдите и убейте Проклятого Командира и уничтожьте его приспешников.
quest_objective_1033_1|Damned Commander killed| Проклятый Командир убит
quest_objective_1033_2|Enemies slain| Враги убиты
quest_name_1034|Damien, Son of Satan| Дэмиен
quest_description_1034|Kill Damien in the Altar of Lost Souls!| Убейте Дэмиена на Алтаре Потерянных Душ!
quest_objective_1034_1|Damien slain| Дэмиен убит
||
[KARP OF DOOM]||
quest_name_1035|Corrupted Statues| Испорченные статуи
quest_description_1035|Destroy corrupted statues and purge the infestation inside the Underground Gardens located in Misty Swamps.| Уничтожьте зараженные статуи и очистите Подземные сады, расположенные в Туманных болотах, от заражения.
quest_objective_1035_1|Corrupted statues destroyed| Поврежденные статуи уничтожены
quest_objective_1035_2|Garden Colossus slain| Садовый Колосс убит
quest_name_1036|Stop the Invasion| Остановить вторжение
quest_description_1036|Bomb the ships at the edge of Fuji Coast!| Бомбите корабли на краю побережья Фудзи!
quest_objective_1036_1|Ships sunk| Корабли затоплены
quest_name_1037|We Feast on Fish| Мы пируем рыбой
quest_description_1037|Capture fishes with fish trap in the Sea of Karponia and  Temple of Zamjo.| Поймайте рыбу с помощью ловушки в море Карпония и храме Замджо.
quest_objective_1037_1|Fishes captured| Пойманных рыб
quest_name_1038|Sushi Time!| Время суши!
quest_description_1038|Kill Karp King in the Emperor’s Chamber!| Убейте Карпа Кинга в покоях Императора!
quest_objective_1038_1|Karp King killed| Карп Кинг убит
||
[DEPTHS OF HELL]||
quest_name_1039|Preparation| Подготовка
quest_description_1039|Collect essence and retrieve Book of Command from the Graveyard!| Соберите эссенцию и заберите Книгу Заповедей с Кладбища!
quest_objective_1039_1|Book of Command| Книга Заповеди
quest_objective_1039_2|Essence| Сущность
quest_name_1040|Shut Down| Неисправность
quest_description_1040|Close demonic portals around the Cathedral.| Закройте демонические порталы вокруг Собора.
quest_objective_1040_1|Portals closed| Порталы закрыты
quest_name_1041|Highway to Hell| Дорога в ад
quest_description_1041|Clear cogs out of mysterious vines in the Steam Train.|Очистите шестеренки от таинственных лоз в паровозе.
quest_objective_1041_1|Cogs cleared| Шестеренки очищены
quest_name_1042|Summon Satan| Вызов Сатаны
quest_description_1042|Kill Satan in the Seventh Layer of Hell!| Убейте Сатану в седьмом слое ада!
quest_objective_1042_1|Satan killed| Сатана убил
||
[WRATH OF MEVIUS]||
quest_name_1043|Technology is Great| Технологии — это здорово
quest_description_1043|Suck black holes with Sucker-5000 within Deep Space.| Засасывайте черные дыры с помощью Sucker-5000 в дальнем космосе.
quest_objective_1043_1|Black holes captured| Черные дыры захвачены
quest_name_1044|Lock & Load!| Заблокируйте и загрузите!
quest_description_1044|Use Sucker-5000-B to capture enemies in Event Horizon.| Используйте Присоска-5000-B для захвата врагов в Горизонте событий.
quest_objective_1044_1|Enemies captured| Враги захвачены
quest_name_1045|Purge your demons!| Изгоните своих демонов!
quest_description_1045|Slay enemies within the Parallel Dimension… | Уничтожайте врагов в Параллельном Измерении…
quest_objective_1045_1|Casket Horror| Ужас в гробу
quest_objective_1045_2|Nightmare Priest| Кошмарный Священник
quest_objective_1045_3|Gnarler| Гнарлер
quest_objective_1045_4|Headless butler| Безголовый дворецкий
quest_name_1046|Master of Destruction| Мастер Разрушения
quest_description_1046|Kill Mevius in the Verge of Insanity| Убить Мевиуса на грани безумия
quest_objective_1046_1|Mevius killed| Мевиус убит
||
[MAIN NIGHTMARE]||
quest_name_1101|Magic Stones| Волшебные камни
quest_description_1101|Slay Commander Albert within the Black Tower in Woodhill Plains| Убейте Командира Альберта в Черной Башне на Вудхиллских равнинах.
quest_objective_1101_1|Commander Albert slain| Командир Альберт убит
quest_name_1102|The Wild Hunt| Дикая Охота
quest_description_1102|The Hunt is on! Slay the wild creatures and skeletons within Act II.| Охота началась! Уничтожайте диких тварей и скелетов во втором акте.
quest_objective_1102_1|Wild Creatures slain| Дикие существа убиты
quest_objective_1102_2|Skeletons slain| Скелеты убиты
quest_name_1103|Tomb Raider| Расхитительница гробниц
quest_description_1103|The pyramid is a sacred place taken over by the undead.. Purge them all!| Пирамида — священное место, захваченное нежитью. Уничтожьте их всех!
quest_objective_1103_1|Desert Monsters slain| Убиты пустынные монстры
quest_objective_1103_2|Pyramid Undead slain| Пирамида Нежить убита
quest_name_1104|Secrets of Iron|Секреты железа
quest_description_1104|Mine Iron Ore for Kleiton and slay the Forge Master within the Abandoned Mine inside the Highland Mines.| Добудьте железную руду для Клейтона и убейте кузнеца в заброшенной шахте в шахтах Хайленда.
quest_objective_1104_1|Iron Ore Collected| Собранная железная руда
quest_objective_1104_2|Forge Master slain| Мастер кузницы убит
quest_name_1105|Warlord Training| Подготовка военачальника
quest_description_1105|Train your combat skills and slay monsters within Act V.| Тренируйте свои боевые навыки и убивайте монстров в Акте V.
quest_objective_1105_1|Monsters slain| Убитые монстры
quest_name_1106|Souls of the Dead| Души мертвых
quest_description_1106|Slay monsters within Act VI and collect their essence.| Уничтожайте монстров в шестом акте и собирайте их эссенцию.
quest_objective_1106_1|Essence of Undead collected| Эссенция нежити собрана
quest_name_1107|Lost Manual| Потерянное руководство
quest_description_1107|Retrieve Lost Manual from Distorted Horizons within the Event Horizon.| Извлеките утерянное руководство из искаженных горизонтов в пределах горизонта событий.
quest_objective_1107_1|Lost Manual collected| Утерянное руководство собрано
quest_name_1108|Eight Legged Monstrosities| Восьминогие чудовища
quest_description_1108|Slay Helheim Arachnid within the Camp of Souls| Убейте Хельхеймского паука в Лагере Душ.
quest_objective_1108_1|Helheim Arachnid slain| Хельхеймский паук убит
||
[MAIN HELL]||
quest_name_1201|Grand Purge| Великая чистка
quest_description_1201|Slay monsters within Act I and then kill Gurag.| Уничтожьте монстров в первом акте, а затем убейте Гурага.
quest_objective_1201_1|Monsters slain| Убитые монстры
quest_objective_1201_2|Gurag slain| Гураг убит
quest_name_1202|Protect The Wilderness| Защитите дикую природу
quest_description_1202|Collect wild berries and slay monsters within Act II.| Собирайте дикие ягоды и убивайте монстров во втором акте.
quest_objective_1202_1|Wild Berries collected| Лесные ягоды собраны
quest_objective_1202_2|Monsters slain| Убитые монстры
quest_name_1203|Free Spirits| Свободные Духи
quest_description_1203|Free entrapped souls within Act III.| Освободите запертые души в третьем акте.
quest_objective_1203_1|Entrapped Souls freed| Освобождены захваченные души
quest_name_1204|Tarethium’s Essence| Эссенция Таретиума
quest_description_1204|Mine tarethium ore for Kleiton.| Добудьте таретиевую руду для Клейтона.
quest_objective_1204_1|Tarethium Ore collected| Собрана руда таретия
quest_name_1205|Warlord’s Command|Приказ военачальника
quest_description_1205|Slay monsters within Act V.| Уничтожайте монстров в акте V.
quest_objective_1205_1|Monsters slain| Убитые монстры
quest_name_1206|Purification| Очищение
quest_description_1206|Destroy skull piles and slay monsters within Act VI.| Уничтожайте груды черепов и убивайте монстров в Акте VI.
quest_objective_1206_1|Skull Piles destroyed| Черепа-кучи уничтожены
quest_objective_1206_2|Monsters slain| Убитые монстры
quest_name_1207|Fixing Glitches| Исправление сбоев
quest_description_1207|Destroy glitching objects within Act VII.| Уничтожьте глючные объекты в VII акте.
quest_objective_1207_1|Glitches fixed| Исправлены глюки
quest_name_1208|Cleansing Valhalla| Очищение Валгаллы
quest_description_1208|Slay monsters within Act VIII.| Уничтожайте монстров в VIII акте.
quest_objective_1208_1|Monsters slain| Убитые монстры
||
[HELL 5 QUESTS]||
||
quest_name_1250|WANTED: Shadow Reaper|РАЗЫСКИВАЕТСЯ: Shadow Reaper
quest_description_1250|Collect dimensional shards from shadow realm, once you have obtained enough enter the portal within the realm and kill shadow reaper.|Соберите пространственные осколки из царства теней, как только вы соберете достаточно, войдите в портал внутри царства и убейте Shadow Reaper.
quest_objective_1250_1|Dimensional Shards collected|Пространственные осколки собраны
quest_objective_1250_2|Shadow Reaper slain|Shadow Reaper убит
quest_name_1251|WANTED: Sung Lee|РАЗЫСКИВАЕТСЯ: Sung Lee
quest_description_1251|Collect battle fragments around the eternal battle field portal, once you have obtained enough enter the portal and kill sung lee.|Соберите фрагменты битвы вокруг портала вечного поля битвы, как только вы соберете достаточно, войдите в портал и убейте Sung Lee.
quest_objective_1251_1|Battle Fragments collected|Фрагменты битвы собраны
quest_objective_1251_2|Sung Lee slain|Sung Lee убит
quest_name_1252|WANTED: Chaos Tower|РАЗЫСКИВАЕТСЯ: Chaos Tower
quest_description_1252|Enter a chaos tower and purge its floors from the undead.|Войдите в башню хаоса и очистите ее этажи от нежити.
quest_objective_1252_1|Chaos Tower floors cleared|Этажи Chaos Tower очищены
quest_name_1253|WANTED: Damien|РАЗЫСКИВАЕТСЯ: Damien
quest_description_1253|Collect the parts from Gurag, Grim Reaper, Anubis, Damien, Karp King and Satan. After collecting the parts, craft a key of terror and speak to um in order to open a portal to fallen inoya and slay damien!|Соберите детали Gurag, Grim Reaper, Anubis, Damien, Karp King и Satan. Собрав детали, создайте ключ ужаса и поговорите с um, чтобы открыть портал к падшей Инойе и убить Damien!
quest_objective_1253_1|Key of Terror obtained|Ключ Ужаса получен
quest_objective_1253_2|Damien slain|Дэмиен убит
quest_name_1254|Codex of Eternity|Кодекс Вечности
quest_description_1254|Find a codex of eternity, enter its zone and clear it.|Используйте кодекс Вечности, войдите в его зону и очистите ее.
quest_objective_1254_1|Codex of Eternity used|Кодекс Вечности использован
quest_objective_1254_2|Codex Zone cleared|Зона Кодекса очищена 
||
||
||
[MAIN INFERNO]||
quest_name_1301|The Fall of Darkness| Падение Тьмы
quest_description_1301|Slay Gabriel in the Circle of Hatred and Amun-Ra within the Tomb of Amun-Ra| Убейте Гавриила в Круге Ненависти и Амона-Ра в Гробнице Амона-Ра.
quest_objective_1301_1|Gabriel Slain| Габриэль Слейн
quest_objective_1301_2|Amun-Ra Slain| Амон-Ра убит
||
quest_name_1302|The Light of Dawn| Свет зари
quest_description_1302|Purge Tarethiel of evil for good..| Очисти Таретиэль от зла навсегда.
quest_objective_1302_1|Gurag slain| Очистите Башню Хаоса
quest_objective_1302_2|Grim Reaper slain| Очистите портал Вечного поля битвы
quest_objective_1302_3|Anubis slain| Уничтожьте древних монстров
quest_objective_1302_4|Damien slain| Убей Мевиуса
quest_objective_1302_5|Karp King slain|
quest_objective_1302_6|Satan slain|
quest_objective_1302_7|Mevius slain|
||
[Community Quests]||
community_quest_header|Community Quest| Общественный квест
community_quest_title_1|Call to Arms| Призыв к оружию
community_quest_desc_1|I, Mayor Kukkonen, hereby issue a request for the heroes of Tarethiel. Purge the lands of the monsters! The massive infestation of dark creatures roaming our lands has gone on long enough. To ensure that these creatures will not overrun us in the future we have to act now! Obliterate as many as you can by next Friday.| я
community_quest_objective_1|Slay monsters all around Tarethiel| Уничтожайте монстров вокруг Таретиэль.
community_quest_title_2|Chaos at the Tower| Хаос в Башне
community_quest_desc_2|The good warriors of Tarethiel, listen up! Chaos Towers have been running rampant across the lands! Purify these towers on sight! For glory, for honor!| Добрые воины Таретиэля
community_quest_objective_2|Clear Chaos Towers| Очистить башни хаоса
community_quest_title_3|Heigh-Ho!| Хей-хо!
community_quest_desc_3|We are in massive need of resources to build our defenses and ensure the survival of the good people of Tarethiel! This is why I, Dr. Tinker Dink, along with Mayor Kukkonen have started a campaign to get as much minerals as possible to bolster our position on the map. Help us collect as much Ores as possible.| Нам очень нужны ресурсы, чтобы построить нашу оборону и обеспечить выживание добрых людей Таретиэля! Вот почему я
community_quest_objective_3|Mine ore nodes| Добыча рудных узлов
community_quest_title_4|Sonya’s Soldier| Солдат Сони
community_quest_desc_4|It’s one thing to face Damien’s troops to purge this land of evil, but to also do it with style? That’s more my style! Bring me proof of completed Challenge Dungeons by opening the Chests at the end, and I shall reward you!|Одно дело — сражаться с войсками Дэмиена, чтобы очистить эту землю от зла.
community_quest_objective_4|Open Challenge Dungeon Chests| Откройте сундуки подземелий испытаний
community_quest_title_5|Gold Farm| Золотая ферма
community_quest_desc_5|The economy is tanking! The monsters are rampaging through the lands, murdering innocents and robbing our resources, including gold! We have seen an increase of scams and cheated currency ruining our already unstable economy. Please slay monsters and collect [c_yellow]our gold[c_reset] back from their cold dead hands. More gold in circulation is better for everyone!| Экономика рушится! Монстры бесчинствуют на землях
community_quest_objective_5|Pick up gold. A lot of gold.| Собирай золото. Много золота.
community_quest_title_6|Uber-Grind| Убер-Гринд
community_quest_desc_6|The dark forces are getting stronger and danger looms near every domain. Show them that we are not afraid! [shake_letter][c_red]Slaughter them![c_reset][shake_reset] Destroy the biggest evil creatures you can find.| Темные силы становятся сильнее, и опасность нависает над каждым доменом. Покажите им, что мы не боимся! [shake_letter][c_red]Уничтожьте их![c_reset][shake_reset] Уничтожьте самых больших злых существ, которых сможете найти.
community_quest_objective_6|Slay Uber bosses| Уничтожайте боссов Uber
community_quest_title_7|Dungeon Crawler| Подземелье краулер
community_quest_desc_7|To further help with purging the infestation of our lands we have to hit them where it hurts. They are below us, crawling through the dungeons. Scheming, getting stronger. Destroy as many of these dungeon dwellers as possible!| Чтобы помочь очистить наши земли от заражения, мы должны ударить по их больному месту. Они ниже нас
community_quest_objective_7|Slay enemies within Special Dungeons| Убивайте врагов в специальных подземельях
community_quest_title_8|Purge Big Baddies| Очистка больших негодяев
community_quest_desc_8|It’s time to show those bastards who is the boss here. For too long has Reaper ruled over Danethorpe, enough for the Reign of Karp King or Satan’s Influence over these holy grounds. Time to purge this land, once and for all.| Пора показать этим ублюдкам, кто тут хозяин. Слишком долго Рипер правил Дэнторпом
community_quest_objective_8|Kill Act Bosses| Убийственные боссы
||
||
||
||
||
||
||
||
[quest casting]||
quest_cook_meat|Cook Meat| Приготовить Мясо
quest_cook_meat_action|Cooking delicious hog meat| Готовим вкусную свинину
quest_dirt_dig|Dig| Копать
quest_dirt_dig_action|Digging up dirt| Копание в грязи
quest_lift_water|Use Well| Хорошо используйте
quest_lift_water_action|Lifting water from river Gjöll| Подъем воды из реки Гьёлль
quest_potion_cauldron|Conjure Potion| Зелье колдовства
quest_potion_cauldron_action|Boiling ingredients| Кипящие ингредиенты
quest_attach_wheel|Attach Wheel|Прикрепить колесо
quest_attach_wheel_action|Attaching wheel| Крепление колеса
quest_attach_wheel_done|Wheel attached!| Колесо прикреплено!
quest_harvest_pumpkin_action|Harvesting pumpkin| Сбор тыквы
quest_harvest_pumpkin|Pumpkin?| Тыква?
quest_cook_maggot_stew|Boil the ingredients| Отварить ингредиенты.
quest_cooking_maggot_stew|Making Maggot stew| Приготовление рагу из личинок
quest_gathering_herb|Gathering herbs...| Сбор трав...
quest_gather_ginseng|Collect ginseng plant| Собрать растение женьшень
quest_gather_frost_dill|Collect Frost Dill| Собрать замороженный укроп
quest_gather_loska|Collect Loska| Собрать Лоску
quest_gather_vermroot|Collect Vermroot| Собрать вермрут
quest_gather_fanglen|Collect Fanglen| Собрать Фанглен
quest_inspect_track|Inspect track| Осмотреть трек
quest_inspecting|Inspecting...| Проверка...
quest_skin_carnage|Skin Carnage's Hide| Кожа Карнажа
quest_skinning|Skinning...| Снятие шкур...
quest_gather_devils_cabbage|Collect Devil's Cabbage| Собрать дьявольскую капусту
quest_inspect_cart|Inspect Mining Cart| Осмотреть горнодобывающую тележку
quest_mend_hurrdurr|Attempt to heal Hurrdurr| Попытка исцелить Хуррдурра
quest_mending_hurrdurr|Trying to save Hurrdurr| Пытаюсь спасти Хуррдурра
quest_collect_bamboo|Rip Bamboo Sticks| Бамбуковые палочки Rip
quest_collecting_bamboo|Taking sturdy bamboo| Взяв крепкий бамбук
quest_craft_rod|Craft Sturdy Fishing Rod| Изготовить прочную удочку
quest_using_workbench|Crafting...| Изготовление...
quest_collect_spiderweb|Collect Spiderweb| Собрать паутину
quest_collecting|Collecting...| Собираем...
quest_inspect_metal_hook|Inspect Metal Hook| Осмотрите металлический крючок
quest_harvest_soul|Harvest Damned Soul| Соберите Проклятую Душу
quest_harvesting_soul|Harvesting soul...| Сбор души...
quest_seal_grave|Bless the Eternal Chalice| Благослови Вечную Чашу
quest_seal_grave_action|Purifying Damned Souls| Очищение проклятых душ
quest_bag_njals_head|Bagging Njal’s head| Голова Ньяла в мешке
quest_repair_beacon|Repairing security beacon| Ремонт охранного маяка
quest_beacons_up|Turning the security beacon system on| Включение системы охранных маяков
quest_ice_crack|Examining| Рассматривание
quest_place_explosives_interact|Placing explosives... carefully| Размещение взрывчатки... осторожно
quest_detonating|Starting detonator| Пусковой детонатор
quest_igniting_beacon|Igniting beacon| Зажигающий маяк
||
||
||
[special cases]||
quest_require_valhalla_chain|You must have the Valhalla storyline quests completed to be eligible for today’s Bounty Quest!| Чтобы принять участие в сегодняшнем квесте «Баунти», вы должны пройти сюжетные задания Валгаллы!
quest_require_valhalla_dlc|You must own a copy of The Gates of Valhalla Expansion and have the Valhalla storyline quests completed to be eligible for today’s Bounty Quest!| Вы должны владеть копией расширения «Врата Валгаллы» и пройти сюжетные квесты Валгаллы, чтобы получить право на участие в сегодняшнем квесте «Баунти»!
||
||
quest_name_1280|Stabilizing The Rifts|
quest_description_1280|Find and clear unstable rifts for Magister Kujala. Return to the town of Inoya when you are done!|
quest_objective_1280_1|Monsters slain within unstable rift|
quest_name_1281|Essence Lockpicking|
quest_description_1281|Obtain an open essence vaults by fulfilling the vaults contract! Return to the town of Inoya when you are done!|
quest_objective_1281_1|Essence Vaults opened|
quest_name_1282|Vault Master|
quest_description_1282|Craft and open Tier A+ vaults for Magister Kujala. Return to the town of Inoya when you are done!|
quest_objective_1282_1|Essence Vaults crafted|
quest_objective_1282_2|Tier A+ Essence Vaults opened|
