[main_menu]|en|ru
equip_ingame|This item can be equipped after choosing a character|Этот предмет можно экипировать после выбора персонажа.
equip_not_compatible|This item isn't compatible with your current equipment|Этот товар несовместим с вашей текущей экипировкой
season_supporter|Season Supporter|Поддержка сезона
season_supporter_explanation|Only available during the current Season|Доступно только в текущем сезоне
season_supporter_hint|You have: [token_count]|У вас есть: [token_count]
show_owned|Show only owned|Показать доступные/разблокированные
show_locked|Show locked|Показать заблокированные
show_all|Show all|Показать все
show_all_skins|Show all skins|Показать все скины
wings|Wings|Крылья
back_accessories|Back Accessories|Аксессуары для спины
buy_gold_token|Buy Gold Token|Купить золотой жетон
buy_gold_token_long|Would you like to buy a Gold Token for|Хотите купить золотой жетон за
gold_token|Gold Token|Золотой жетон
season_reward_effect|Player Effect|Эффект игрока
season_reward_portal|Portal Skin|Скин портала
season_reward_back|Back Accessory|Аксессуар для спины
cursor|Cursor|Курсор
subscribe|Subscribe|Подписаться
accessory|Accessory|Аксессуар
effect|Effect|Эффект
trail|Trail|Шлейф
buy_multiple|Buy Multiple|Купить несколько
weapon_skin|Weapon Skin|Скин оружия
shield_skin|Shield Skin|Скин щита
death_effect|Death Effect|Эффект смерти
spell_effects|Spell Effects|Эффекты заклинаний 
||
[ingame]||
stun_duration|Stun Duration|Продолжительность оглушения
proc_chance|Proc Chance|Шанс срабатывания
duration|Duration|Продолжительность
seconds|Seconds|Секунды
second|Second|Секунда
aura|Aura|Аура
slow_duration|Slow Duration|Длительность замедления
absorption|Absorption|Поглощение
offensive_skills|Offensive Abilities|Наступательные навыки
defensive_skills|Defensive Abilities|Защитные навыки
magic_skills|Magic Abilities|Магические навыки
accept_trade|Trade Accepted|Торговля принята
open_inventory|Open Inventory|Открыть инвентарь
agree|Agree|Согласиться
close|Close|Закрыть
extra_strength|Extra Strength|Дополнительная сила
extra_energy|Extra Energy|Дополнительная энергия
extra_armor|Extra Armor|Дополнительная броня
extra_stamina|Extra Stamina|Дополнительная выносливость
healing|Healing|Исцеление
magic_resistance|Arcane Resistance|Сопротивление тайной магии
physical_resistance|Physical Resistance|Сопротивление физическому урону
handed|Handed|Ручное
buyback|Buyback|Выкупить
stacks|Stacks|Заряды
loadouts|Loadouts|Комплекты снаряжения
gem_pouch|Gem Pouch|Мешочек с самоцветами
seed_pouch|Seed Pouch|Мешочек для семян
key_ring|Key Ring|Связка ключей
consumable|Consumable|Расходные предметы
rune|Rune|Руна
minion_inventory|Mercenary|Наемник
speak|Speak|Поговорить
sell|Sell|Продать
sell_all|Sell All|Продать все
browse|Browse|Просмотр
inspect|Inspect|Осмотреть
drop|Drop|Выбросить
equip|Equip|Экипировать
stash|Stash|Тайник
guild_stash|Guild Stash|Тайник гильдии
blood_pact_stash|Blood Pact Stash|Тайник Кровавого Договора
retrieve|Retrieve|Забрать
inventory|Inventory|Инвентарь
quests|Quests|Задания
accept_quest|Accept Quest|Принять задание
return_quest|Return Quest|Сдать задание
return_quest_to|Return to|Вернуться к
delete_quest|Delete quest|Отменить задание
quest_completed|Quest completed!|Задание выполнено!
destroy|Destroy|Уничтожить
upgrade|Upgrade|Улучшить
unequip|Unequip|Снять
show_sockets|Show sockets|Показать гнезда
hide_sockets|Hide sockets|Скрыть гнезда
clear_socket|Clear Socket|Очистить гнездо
clear_socket_prompt|Are you sure you want to clear sockets from this item?|Вы уверены, что хотите очистить гнезда в этом предмете?
place|Place|Разместить
previous|Previous|Предыдущее
next|Next |Следующее
previous_tab|Previous Tab|Предыдущая вкладка
next_tab|Next Tab|Следующая вкладка
unique|Unique|Уникальное
unique_items|Unique items|Уникальные предметы
cycle_ui|Cycle Cursor|Переключить курсор
cycle_tab|Cycle Tabs|Переключить вкладки
market|Tarethiel Market|Рынок Таретиэль
craft|Craft|Создать
crafting|Crafting|Крафт
prospect|Prospect|Просеять
prospecting|Prospecting|Просеивание
random|random|случайно
merge|Merge|Объединить
difficulty|Difficulty|Сложность
change_difficulty|Change Difficulty|Изменить сложность
normal|Normal|Нормальный
nightmare|Nightmare|Кошмар
hell|Hell|Ад
inferno|Inferno|Инферно
solo_rank|Solo Ranking|Соло-рейтинг
duo_rank|Duo Ranking|Рейтинг дуо
trio_rank|Trio Ranking|Рейтинг трио
quad_rank|Quad Ranking|Рейтинг групп (4)
hero_rank|Hero Level Ranking|Рейтинг уровня героя
common|Common|Обычный
superior|Superior|Улучшенный
rare|Rare|Редкий
legendary|Legendary|Легендарный
mythic|Mythic|Мифический
angelic|Angelic|Ангельский
satanic|Satanic|Сатанинский
heroic|Heroic|Героический
unholy|Unholy|Нечестивый
heroic_set|Heroic Set|Героический комплект
satanic_set|Satanic Set|Сатанинский комплект
runeword|Runeword|Рунное слово
history|History|История
buy_token|Buy Token|Купить жетон
sell_limit|Sell Limit|Лимит продажи
hide_rune_prices|Hide rune prices|Скрыть цены на руны
hide_runewords|Hide runewords|Скрыть рунные слова
hide_unbreakable|Hide unbreakable|Скрыть неразрушимые
hide_corrupted|Hide corrupted|Скрыть поврежденные
||
[Stats]||
health|Life|Здоровье
mana|Mana|Мана
||
level_requirement|Requires Level|Требуется уровень
item_level|iLevel|Уровень предмета
picked_up|Picked up|Подобрано
equipped|Equipped|Экипировано
town_portal|Town Portal|Городской портал
synergy|Synergy|Синергия
current_level|Current level|Текущий уровень
next_level|Next level|Следующий уровень
picked_up_quest_item|Collected quest item|Предмет задания собран
||
physical|Physical|Физический
magic|Arcane|Тайная магия
poison|Poison|Яд
wind|Wind|Ветер
lightning|Lightning|Молния
cold|Cold|Холод
fire|Fire|Огонь
stunned|Stunned|Оглушение
frozen|Deep Freeze|Сильное обморожение
freeze|Frozen|Заморозка
poisoned|Poisoned|Отравление
slow|Slow|Замедление
weakened|Weakened|Ослабление
burning_damage|Burning Damage|Урон от горения
burning|Burning|Горение
bleeding|Bleeding|Кровотечение
immortality|Immortality|Бессмертие
double_damage|Double Damage|Двойной урон
elemental|Elemental|Стихийный
ruby_drops|Increased Ruby drops|Увеличено количество выпадающих рубинов.
projectiles|Projectiles|Снаряды
set_bonus|Set Bonus|Бонус комплекта
||
when_struck|when Struck|при ударе
when_strike|when Striking|при ударе
when_kill|after each Kill|после каждого убийства
when_blocking|after Blocking|после блокировки
when_casting|when Casting|при касте
when_attacking|when Attacking|при атаке
when_spellhit|when Spellhit|при попадании заклинанием
chance|Chance|Шанс
block|Block|Блок
taunt|Taunt|Насмешка
miniboss|a miniboss|мини-босс
summon|Minion|Прислужник
weapon_damage|Weapon Damage|Урон от оружия
tick_rate|Tick Rate|Частота тиков
cold_break|Cold Break|Пробитие холода
armor_break|Armor Break|Пробитие брони
cooldown|Cooldown|Перезарядка
ability_power|Ability Power|Сила навыков
attack_power|Attack Power|Сила атаки
runewords|Runewords|Рунные слова
statistics|Statistics|Статистика
any_base_item|Any base item|Любой базовый предмет
toy_bear|Toy Bear|Игрушечный медведь
tier|Tier|Ранг
targets|Targets|Цели
||
[crafting]||
craft_ability_token|Craft Ability Token|Создать жетон навыков
craft_copper_ore|Craft Copper Ore|Создать медную руду
craft_crystal_key|Craft Crystal Key|Создать хрустальный ключ
craft_gold_ore|Craft Gold Ore|Создать золотую руду
craft_iron_ore|Craft Iron Ore|Создать железную руду
craft_key|Craft Key|Создать ключ
craft_merge_leg_powder|Merge Legendary Powder|Объединить легендарную пыль
craft_random_rare|Craft random Rare item|Создать случайный редкий предмет
craft_random_legendary|Craft random Legendary item|Создать случайный легендарный предмет
craft_random_mythical|Craft random Mythical item|Создать случайный мифический предмет
craft_random_satanic|Craft random Satanic item|Создать случайный сатанинский предмет
craft_random_satanic_a_tier|Craft random Tier A+ Satanic|Создать случайный сатанинский предмет ранга A+
craft_socket_token|Craft Socket Token|Создать жетон гнезд
craft_random_relic|Craft random Relic|Создать случайную реликвию
craft_reroll_token|Craft Re-roll Token|Создать жетон переброса
craft_satanic_amulet|Craft Satanic Amulet|Создать сатанинский амулет
craft_satanic_armor|Craft Satanic Body Armor|Создать сатанинский доспех
craft_satanic_boots|Craft Satanic Boots|Создать сатанинские сапоги
craft_satanic_charm|Craft Satanic Charm|Создать сатанинский талисман
craft_satanic_dice|Craft Satanic Dice|Создать сатанинские кости
craft_satanic_gloves|Craft Satanic Gloves|Создать сатанинские перчатки
craft_satanic_helmet|Craft Satanic Helmet|Создать сатанинский шлем
craft_satanic_shield|Craft Satanic Shield|Создать сатанинский щит
craft_satanic_weapon|Craft Satanic Weapon|Создать сатанинское оружие
craft_upgrade_token|Craft Upgrade Token|Создать жетон улучшения
craft_wormhole_key|Craft Wormhole Key|Создать ключ от червоточины
craft_jewel|Craft Jewel|Создать драгоценный камень
craft_gem|Craft Gem|Создать самоцвет
aura_1|Feint|Уловка
aura_2|Mending|Восстановление
aura_3|Fanaticism|Фанатизм
aura_4|Resistance|Сопротивление
aura_5|Concentration|Концентрация
aura_6|Holy Freeze|Священная заморозка
aura_7|Holy Shock|Святой шок
aura_10|Mana Pool|Источник маны
aura_14|Precognition|Предвидение
aura_13|Thorns|Шипы
aura_15|Angel's Vibrance|Ангельское сияние
aura_93|Mana Pool|Источник маны
||
aura_desc_1|Grants you an aura that increases you and your allies movement speed|Дарует ауру, повышающую скорость передвижения вам и вашим союзникам
aura_desc_2|Grants you an aura that increases you and your allies health regeneration|Дарует ауру, повышающую скорость восстановления здоровья вам и вашим союзникам
aura_desc_3|Grants you an aura that increases you and your allies attack speed|Дарует ауру, повышающую скорость атаки вам и вашим союзникам
aura_desc_4|Grants you an aura that increases you and your allies all resistance|Дарует ауру, повышающую все сопротивления вам и вашим союзникам
aura_desc_5|Grants you an aura that increases you and your allies attack damage|Дарует ауру, увеличивающую урон от атак вам и вашим союзникам
aura_desc_6|Grants you an aura that increases you and your allies a chilling aura|Наделяет вас и ваших союзников леденящей аурой
aura_desc_7|Grants you an aura that increases you and your allies a shocking aura|Наделяет вас и ваших союзников шокирующей аурой
aura_desc_10|Grants you an aura that increases you and your allies mana regeneration|Дарует ауру, повышающую скорость восстановления маны вам и вашим союзникам
aura_desc_13|Grants you an aura that increases you and your allies damage return|Дарует ауру, увеличивающую возврат урона вам и вашим союзникам
aura_desc_14|Grants you an aura that increases you and your allies elemental damage, block and dodge|Дарует ауру, повышающую стихийный урон, а также шанс блока и уклонения вам и вашим союзникам
aura_desc_15|Grants you power of the Angel’s providing you and your allies every buff in the game|Наделяет вас силой Ангела, дарующей вам и вашим союзникам все положительные эффекты в игре
aura_desc_93|Grants you an aura that increases you and your allies mana regeneration|Дарует ауру, повышающую скорость восстановления маны вам и вашим союзникам
nothing|Nothing|Ничего
||
[Professions]||
mining|Mining|Горное дело
herbalism|Herbalism|Травничество
enchanting|Enchanting|Наложение чар
jewelcrafting|Jewelcrafting|Ювелирное дело
copper_ore|Copper Ore|Медная руда
iron_ore|Iron Ore|Железная руда
gold_ore|Gold Ore|Золотая руда
ruby_ore|Ruby Ore|Рубиновая руда
jade_ore|Jade Ore|Нефритовая руда
tarethium_ore|Tarethium Ore|Таретиевая руда
copper_node|Copper Vein|Медная жила
iron_node|Iron Vein|Железная жила
gold_node|Gold Vein|Золотая жила
ruby_node|Ruby Vein|Рубиновая жила
jade_node|Jade Vein|Нефритовая жила
tarethium_node|Tarethium Vein|Таретиевая жила
ranged_resistance|Ranged Resistance|Сопротивление дальним атакам
reflection|Reflection|Отражение
cold_enhanced|Cold Enhanced|Усиление холодом
electrified|Electrified|Электрифицированный
fiery|Fiery|Огненный
juggernaut|Juggernaut|Джаггернаут
arcana|Arcana|Аркана
thunder_orbiter|Thunder Orbiter|Громовая сфера
mortar|Mortar|Мортира
teleporting|Teleporting|Телепортация
waller|Waller|Уоллер
punisher|Punisher|Каратель
thunderstorm|Thunderstorm|Гроза
pack_leader|Pack Leader|Вожак стаи
resume|Resume|Продолжить
restart|Restart|Перезапуск
save_and_exit|Save & Exit|Сохранить и выйти
points_left|Points Left|Осталось очков
points_assigned|Points Assigned|Очков распределено
points_removed|Points Removed|Очков сброшено
minion_talents|Mercenary|Наемник
att_talents|Player|Игрок
hero_talents|Hero Level|Уровень героя
enemies_left|Enemies left|Осталось врагов
last_page|Last Page|Последняя страница
next_page|Next Page|Следующая страница
previous_page|Previous Page|Предыдущая страница
key|Key|Ключ
crystal_key|Crystal Key|Кристальный ключ
runes|Runes|Руны
assign_point|Assign point|Распределить очко
loading|LOADING|ЗАГРУЗКА
magic_potion|Magic Potion|Магическое зелье
gold|Gold|Золото
crystals|Crystals|Кристаллы
rubies|Rubies|Рубины
requires_key|Key needed to open|Требуется ключ
requires_crystal_key|Crystal key needed to open|Требуется кристальный ключ
found_key|Found a Key!|Вы нашли ключ!
found_crystal_key|Found a Crystal Key!|Вы нашли кристальный ключ!
saving_game|Saving the game...|Сохранение игры...
you_died|You Died|Вы погибли
death_by|Death by|Причина смерти:
upgrade_wormhole|Upgrade Wormhole Level|Повысить уровень червоточины
waiting_for_players|Waiting for players to join...|Ожидание игроков...
entering_wormhole|player(s) entering wormhole|Игрок(и) входит в червоточину
entering_challenge_dungeon|player(s) entering challenge dungeon|Игрок(и) входит в подземелье испытания
entering_chaos_tower|player(s) entering Chaos Tower|Игрок(и) входит в Башню Хаоса
entering_ruby_garden|player(s) entering Ruby Gardens|Игрок(и) входит в Рубиновые сады
monster_level|Monster Level|Уровень монстра
keys|Keys|Ключи
potion_use_health|Full Health!|Здоровье восполнено!
lift_beachball|Lift <Beachball>|Поднять <Пляжный мяч>
throw_beachball|Throw <Beachball>|Бросить <Пляжный мяч>
lift_square_stone|Lift <Square Stone>|Поднять <Квадратный камень>
lift_moon_stone|Lift <Moon Stone>|Поднять <Лунный камень>
lift_round_stone|Lift <Round Stone>|Поднять <Круглый камень>
lift_triangle_stone|Lift <Triangle Stone>|Поднять <Треугольный камень>
lift_disc|Lift Disc|Поднять диск
disc_driver|Fairway Driver|Фервей-драйвер
disc_putter|Putter|Паттер
disc_midrange|Midrange|Мидрейндж
||
wormhole_key|Next Wormhole|Следующая червоточина
found_item|Found|Найдено
pick_up_item|Pick up|Подобрать
interact|Interact|Взаимодействовать
||
satanic_dice|Satanic Dice|Сатанинские кости
reroll|Re-roll|Перебросить
reroll_token|Re-roll Token|Жетон переброса
upgrade_token|Upgrade Token|Жетон улучшения
offensive_token|Ability Token|Жетон умения
socket_token|+1 Socket Token|Жетон на +1 гнездо
satanic_powder|Satanic Powder|Сатанинская пыль
mythic_powder|Mythic Powder|Мифическая пыль
legendary_powder|Legendary Powder|Легендарная пыль
||
damage_on_impact|damage on impact.|урон при ударе.
achievement_unlocked|Achievement Unlocked|Достижение разблокировано
complete|Complete|Завершено
kill|Kill|Убить
monsters_killed|monsters killed!|монстров убито!
collect|Collect|Собрать
wormhole_level|Wormhole level|Уровень червоточины
achievement_satans_hands|Destroy Satan's both hands in less than 30 seconds!|Уничтожьте обе руки Сатаны менее чем за 30 секунд!
achievement_all_heroes_100|Reach Level 100 with every Hero!|Достигните 100-го уровня каждым героем!
achievement_5000_bushes|Demolish 5000 bushes!|Уничтожьте 5000 кустов!
achievement_satanic_item|Obtain a Satanic item!|Обретите сатанинский предмет!
achievement_4_player_play|Play a Multiplayer game with 4 players!|Сыграйте в группе из 4 игроков!
achievement_4_player_complete|Complete the game with 4 players!|Пройдите игру вчетвером!
achievement_ancient_monster|Slay an Ancient Monster!|Сразите древнее чудовище!
achievement_coffee_club|Join <Sarcaster's Coffee Club>|Присоединитесь к <Кофейному клубу Саркастера>
achievement_sheep_level|Find the Secret Sheep level!|Найдите секретный овечий уровень!
achievement_solve_puzzle|Solve a Puzzle|Разгадайте головоломку
achievement_chaos_tower|Clear Chaos Tower|Пройдите Башню Хаоса
achievement_king_rakhul|Defeat King Rakhul|Победите короля Рахула
achievement_angelic_realm|Enter Angelic Realm|Войдите в Ангельское царство
achievement_sung_lee|Defeat Sung Lee|Победите Сун Ли
achievement_valhalla_valkyrie|Defeat Valkyrie|Победите Валькирию
achievement_valhalla_river|Defeat Jörmungar|Победите Ёрмунгара
achievement_valhalla_odin|Defeat Corrupted Odin|Победите Оскверненного Одина
achievement_valhalla_ring|Acquire ring|Получите кольцо
achievements|Achievements|Достижения
weapon_type|Weapon Type|Тип оружия
weapon_type_sword|Sword|Меч
weapon_type_dagger|Dagger|Кинжал
weapon_type_mace|Mace|Булава
weapon_type_axe|Axe|Топор
weapon_type_polearm|Polearm|Древковое оружие
weapon_type_staff|Staff|Посох
weapon_type_cane|Cane|Трость
weapon_type_spellblade|Spellblade|Магический клинок
weapon_type_book|Book|Книга
weapon_type_wand|Wand|Волшебная палочка
weapon_type_throwing|Throwing|Метательное
weapon_type_bow|Bow|Лук
weapon_type_claw|Claw|Коготь
weapon_type_gun|Gun|Огнестрельное
weapon_type_chainsaw|Chainsaw|Бензопила
weapon_type_flask|Flask|Колба
weapon_type_universal|Novelty|Диковинка
extra_damage|extra damage.|дополнительный урон.
enhance|Enhance|Усилить
loadout|Loadout|Комплект
save_loadout|Save Loadout|Сохранить комплект
load_loadout|Equip Loadout|Надеть комплект
remove_loadout|Remove from loadout|Удалить из комплекта
activate|Activate|Активировать
attack_speed_bonus|attack speed bonus.|бонус к скорости атаки.
extra_damage_on_impact|extra damage on impact.|доп. урон при ударе.
increased|increased|увеличено
seconds_of_aggro|seconds of aggro.|сек. агрессии.
of_damage_mitigated|of damage mitigated.|урона смягчено.
of_health_as_shield|of health as shield.|здоровья в виде щита.
of_damage_healed|of damage healed.|урона исцелено.
of_damage_returned|of damage returned.|урона возвращено.
both|Both|Оба
left|Left|Левый
right|Right|Правый
uber|Uber|Убер
rebound_damage|rebound damage.|урон от рикошета.
chance_to_pierce|chance to pierce.|шанс пронзания.
retaliation_damage|retaliation damage.|ответный урон.
loot_filter|Loot filter|Фильтр добычи
loot_filter_description|Click checkboxes to show or hide specific affix tiers. Red means the tier is visible, yellow means it’s highlighted (light pillar on drop, colored tooltip, and map icon). Right-click a visible tier to highlight it. Click an affix name to toggle all its tiers, or click a tier letter (D/C/B/A/S) to toggle that tier for all affixes. Items with no red or yellow tiers will not appear on the ground. |Используйте флажки, чтобы показать или скрыть определённые уровни аффиксов. Красный цвет — уровень виден, жёлтый — подсвечен (световой столп при выпадении, цветная подсказка и значок на карте). Щёлкните правой кнопкой мыши по видимому уровню, чтобы выделить его. Нажмите на название аффикса, чтобы переключить все его уровни, либо на букву уровня (D/C/B/A/S), чтобы изменить статус этого уровня для всех аффиксов. Предметы без активных меток не будут отображаться на земле.
rune_filter|Rune filter|Фильтр рун
common_loot_socket_filter|Common loot socket filter|Фильтр гнезд добычи
highlight_filter|Highlight filter|Фильтр подсветки
loot_filter_presets|Filter Presets|Предустановки фильтра
highlight_filter_presets|Highlight Presets|Предустановки подсветки
loot_filter_settings|Filter Settings|Настройки фильтра
highlight_filter_settings|Highlight Settings|Настройки подсветки
loot_filter_prompt_overwrite|Are you sure you want to load this loot filter preset? This will overwrite your current loot filters.|Вы уверены, что хотите загрузить эту предустановку? Ваши текущие фильтры добычи будут перезаписаны.
loot_filter_prompt_delete|Are you sure you want to permanently delete this loot filter?|Вы уверены, что хотите навсегда удалить этот фильтр добычи?
loot_filter_prompt_reset|Are you sure you want to reset your loot filter?|Вы уверены, что хотите сбросить настройки фильтра добычи?
highlight_filter_prompt_overwrite|Are you sure you want to load this loot highlight preset? This will overwrite your current loot highlights.|Вы уверены, что хотите загрузить эту предустановку? Ваши текущие настройки подсветки будут перезаписаны.
highlight_filter_prompt_apply_to_all|Are you sure you want to apply this highlight filter to all item types?|Вы уверены, что хотите применить этот фильтр подсветки ко всем типам предметов?
loot_filter_code_copied|Export code copied to clipboard!|Код экспорта скопирован в буфер обмена!
loot_filter_code_invalid|Invalid loot filter code|Неверный код фильтра добычи
loot_filter_save_as|Save Filter As|Сохранить фильтр как
loot_filter_save_override_prompt|Filter [filter_name] already exists. Do you want to overwrite this filter?|Фильтр [filter_name] уже существует. Вы хотите перезаписать его?
filters|Filters|Фильтры
save_as|Save As|Сохранить как
show|Show|Показать
show_only_socketed|Show Only Socketed|Только с гнездами
customize|Customize|Настроить
export|Export|Экспорт
import|Import|Импорт
loot_filter_import_paste|Paste loot filter code here|Вставьте код фильтра добычи здесь
loot_filter_load_parse_error|Loot filter preset load failed. The preset data is in incorrect format.|Не удалось загрузить фильтр. Данные имеют неверный формат.
loot_filter_load_incorrect_version|Loot filter preset load failed. The preset version is outdated.|Не удалось загрузить фильтр. Версия предустановки устарела.
loot_filter_load_unknown_error|Loot filter preset load failed. An unknown error happened.|Не удалось загрузить фильтр. Произошла неизвестная ошибка.
copy_to_all|Copy to All|Копировать для всех
copy_to|Copy to...|Копировать в...
apply_to_all|Apply to All|Применить ко всем
apply_to|Apply to...|Применить к...
deselect_all|Deselect All|Снять выделение
filter|Filter|Фильтр
filter_all|All|Все
filter_chests_and_keys|Chests|Сундуки
filter_items|Items|Предметы
owned|Owned|Владение
not_purchased|Not Purchased|Не куплено
class|Class|Класс
skin|Skin|Скин
companion|Companion|Спутник
rank|Rank|Ранг
mage|Mage|Маг
tank|Tank|Танк
join_own_guild|Join one of your own guilds?|Вступить в одну из своих гильдий?
resign_from_guild|Are you sure you want to resign from this guild?|Вы уверены, что хотите покинуть эту гильдию?
leave_guild_prompt|Are you sure you want to leave guild|Вы уверены, что хотите покинуть гильдию
invited_to_guild|has invited you to join|приглашает вас вступить
trade_failed|Trade failed.|Торговля не удалась.
other_inventory_full|Other player's inventory is full.|Инвентарь другого игрока полон.
inventory_full|Inventory full!|Инвентарь полон!
rank_challenger|Challenger|Претендент
rank_master|Master|Мастер
rank_diamond|Diamond|Алмаз
rank_platinum|Platinum|Платина
rank_gold|Gold|Золото
rank_silver|Silver|Серебро
rank_bronze|Bronze|Бронза
souls|Souls|Души
seeds_idle|Idle Seeds|Семена покоя
seeds_active|Active Seeds|Активные семена
seeds_deposit|Deposit Seeds|Хранимые семена
quest_jacks_key|Jack's Key!|Ключ Джека!
failed|Failed!|Провал!
rescue_prisoner|Rescue the Prisoner|Спасти узника
prisoner|Prisoner|Узник
samurai_ad|Samurai is a close combat class with lots of mobility and deadly damage!|Самурай — мастер ближнего боя, сочетающий невероятную подвижность с сокрушительным уроном!
paladin_ad|Paladin is a hybrid class that can be built into a healing tank, physical damage dealer or a mage!|Паладин — универсальный герой, способный стать как несокрушимым целителем, так и могучим воином или мудрым магом.
amazon_ad|Amazon is a ranged fighter with lots of burst damage, can be built to poison, lightning or physical builds!|Амазонка — искушенный стрелок, наносящий огромный взрывной урон. Вы можете развивать ее навыки, полагаясь на яд, мощь молний или физическую силу.
demon_slayer_ad|Demon Slayer is a mobile master of arms, can use guns or melee weapons! DLC also includes Demonspawn!|Убийца демонов — подвижный мастер оружия, одинаково опасный с клинками и огнестрелом. DLC также открывает доступ к классу «Отродье демона»!
demonspawn_ad|Demonspawn is a caster class with lots of AOE spells, can also fly by default! DLC also includes Demon Slayer!|Отродье демона — заклинатель, чьи чары истязают врагов по области, а врожденный дар позволяет парить над землей. DLC также открывает доступ к классу «Убийца демонов»!
shaman_ad|Shaman specializes in elemental damage, has companion wolves and totems!|Шаман черпает силу в ярости стихий, призывая на помощь верных волков и магические тотемы!
marauder_ad|Marauder is the ultimate war machine, specializing in mobility, explosives and stunning enemies!|Мародер — совершенная машина войны, сеющая хаос при помощи взрывчатки, мобильности и оглушающих ударов!
plague_doctor_ad|Plague Doctor specializes in spreading the plague, dealing DOT damage and breathing fire!|Чумной доктор — вестник заразы, изнуряющий жертв болезнями и испепеляющий их очищающим пламенем!
lancer_ad|Shield Lancer is an extremely tanky class specializing in returning damage and taunting enemies!|Рыцарь щита — исключительно стойкий класс, специализирующийся на провокации врагов и возврате полученного урона!
jotunn_ad|Jötunn is a Warrior Mage who specializes in ice spells and the power of lightning!|Йотун — грозный воин-маг, повелевающий сковывающим льдом и сокрушительной мощью молний!
illusionist_ad|Illusionist is the master of Sand and Time. She summons and controls Sand Guardians as well as bends time and space!|Иллюзионистка — повелительница песков и времени. Она призывает песчаных стражей и искажает саму ткань пространства.
butcher_ad|The Butcher epitudes brute strength and an insatiable thirst for carnage. With each strike of his trusty cleaver, he revels in the symphony of bloodshed. Fueled by a primal urge to rend flesh and crush bone, the Butcher is both feared and revered on the battlefield.|Мясник — воплощение грубой силы и ненасытной жажды крови. С каждым взмахом верного тесака он упивается симфонией резни. Ведомый первобытным желанием кромсать плоть и крушить кости, он внушает врагам лишь священный ужас.
exo_ad|The Prophet of the sun and moon. She embodies the celestial duality of light and darkness, inflicting freezing cold damage and burning her enemies to cinders. She can control the power of the solar system leaving behind a trail of absolute destruction.|Пророчица солнца и луны. Она воплощает небесное единство света и тьмы, сковывая врагов лютым морозом и сжигая их дотла. В ее власти мощь светил, оставляющая за собой лишь пепел и полное опустошение.
stormweaver_ad|The Stormweaver commands the tempestuous power of thunder and lightning, shocking through the undead with electrifying grace. With each crack of thunder and flash of lightning she leaves the battlefields full of steaming ash.|Ткач бурь повелевает яростью небес, поражая нежить разрядами молний с убийственным изяществом. С каждым раскатом грома она превращает поле битвы в выжженную пустошь, застланную дымящимся пеплом.
bard_ad|Shred the battlefield with face-melting solos and thunderous riffs! The Bard storms into Hero Siege with amps cranked to 11, fusing the fury of death metal with the raw brutality of the pit. Channel the storm as a Metal Guitarist, wielding lightning-infused chords that stun, shock, and incinerate your foes. Or dive headfirst into the chaos as a Pit Fighter, a whirlwind of fists, boots, and brutal rhythm, turning moshpits into murderfields.|Сотрясайте землю зубодробительными соло и громовыми риффами! Бард врывается в битву на предельной громкости, смешивая ярость дэт-метала с безумием слэма. Станьте Метал-гитаристом и обрушьте на врагов шторм из наэлектризованных аккордов, или бросайтесь в хаос как Боец мошпита — вихрь из ударов и бешеного ритма превратит ряды противников в кровавое месиво!
monster|Monster|Монстр
relic|Relic|Реликвия
upgrade_token_desc|Used to upgrade Satanic items.|Используется для улучшения сатанинских предметов.
reroll_token_desc|Re-rolls the quality of an item.|Позволяет перебросить показатели качества предмета.
offensive_token_desc|Adds a random ability to a Weapon.|Добавляет случайное умение к оружию.
satanic_dice_desc_one|Chance to increase the quality of an item or corrupt it.|Дает шанс повысить качество предмета или осквернить его.
satanic_dice_desc_two|Item has to be max level|Предмет должен быть максимального уровня.
requires_mining|Requires Mining|Требуется горное дело
requires_jewelcrafting|Requires Jewelcrafting|Требуется ювелирное дело
requires_enchanting|Requires Enchanting|Требуется наложение чар
requires_herbalism|Requires Herbalism|Требуется травничество
requires_fishing|Requires Fishing|Требуется рыбалка
extra_space_dlc|Get More Space|Расширить сумку
price|Price|Цена
price_free|FREE|БЕСПЛАТНО
blocked|Blocked|Заблокировано
miss|Miss|Промах
immune|Immune|Иммунитет
negated|Negated|Отражено
accept|Accept|Принять
decline|Decline|Отклонить
disconnected|Disconnected|Соединение разорвано
version_mismatch|Version mismatch.|Несоответствие версий.
identification_error|Identification error.|Ошибка идентификации.
item_max|MAX|МАКС.
item_corrupted|Corrupted|Осквернено
item_forged|Forged|Закалено
login_connection_error|Connection failed.|Ошибка соединения.
login_internet_error|No Internet connection.|Нет соединения с интернетом.
login_validation_error|VALIDATION ERROR|ОШИБКА ПРОВЕРКИ
login_account_error|ACCOUNT ERROR|ОШИБКА АККАУНТА
found_mystery_hat|Found a Mystery Hat!|Найдена загадочная шляпа!
server_connection_failed|Server connection failed.|Не удалось подключиться к серверу.
server_shutting_down|Server shutting down soon|Сервер скоро будет остановлен
server_no_response|No response from server.|Сервер не отвечает.
server_kicked|Kicked from the server.|вы были изгнаны с сервера.
server_not_unlocked|Difficulty not unlocked!|Сложность не разблокирована!
server_full|Server is full.|Сервер заполнен.
server_password|Enter password:|Введите пароль:
multiplayer_disabled|Online multiplayer is currently disabled.|Сетевая игра в данный момент недоступна.
