[npc]|en|ru
dialog_valhallaPeace_01_purged|I feel a sense of... disconnection from this world, as if I've been severed from my own life and memories. Please, find my son's [c_yellow]Toy Bear[c_reset] and bring it here. It is the last thing I remember needing, althought I am unsure as to why... maybe it will bring some memories back.|Я чувствую... отчуждение от этого мира, будто меня отрезали от собственной жизни и воспоминаний. Пожалуйста, найди [c_yellow]Игрушечного медведя[c_reset] моего сына и принеси его сюда. Это единственное, что мне нужно, хотя я и не помню почему... Может, он вернет мне память.
dialog_valhallaPeace_02_purged|Who... are you? My very being feels being pulled more and more away from existence, but somehow this [c_yellow]Toy Bear[c_reset] brings me a feeling of warmth and hope. Thank you for bringing it to me. I feel like I should pass this to someone. Why do I feel like I have a son? This must be his...|Кто... ты? Мое существо будто стирается из реальности, но этот [c_yellow]Игрушечный медведь[c_reset] дарит мне чувство тепла и надежды. Спасибо, что принес его. Мне кажется, я должен передать его кому-то. Почему я чувствую, что у меня есть сын? Должно быть, это его...
dialog_valhallaPurged_Astrid|[shake_letter][c_aqua]I feel strange... What happened? Where am I?[c_reset][shake_reset]|[shake_letter][c_aqua]Я чувствую себя странно... Что случилось? Где я?[c_reset][shake_reset]
dialog_valhallaPurged_common|[shake_letter][c_aqua].........?[c_reset][shake_reset]|[shake_letter][c_aqua].........?[c_reset][shake_reset]
||
[Nightmare Quest]||
dialog_mainMagicStones|Greetings Hero! The forces of evil are getting stronger within the Black Tower, will you help us slay their commander?|Приветствую, герой! Силы зла крепнут в Черной Башне. Поможешь нам сразить их командира?
dialog_mainMagicStones_end|That was faster than expected! Take these runes, you might have more use for them than me.|Это было быстрее, чем я ожидал! Возьми эти руны, тебе они пригодятся больше, чем мне.
dialog_mainHuntingWild|We are having problems fighting the wild life as they seem to have allied with the undead. Could you help us slaying them?|У нас проблемы с дикими зверями — похоже, они объединились с нежитью. Не мог бы ты помочь нам и перебить их?
dialog_mainHuntingWild_end|Our people are thankful for your aid! Take these as a token of our appreciation!|Наш народ благодарен тебе за помощь! Прими это в знак нашей признательности!
dialog_mainTombRaider|The desert and our sacred pyramid of Mos’Arathim is taken over by the undead. Please help us cleanse this holy place so we can charish it once gain!|Пустыня и наша священная пирамида Мос'Аратим захвачены нежитью. Пожалуйста, помоги нам очистить это святое место, чтобы мы снова могли почитать его!
dialog_mainTombRaider_end|May the gods bless you hero! Here is a gift from our people!|Да благословят тебя боги, герой! Вот дар от нашего народа!
dialog_mainSecretsIron|Ahhh just as I was looking for someone. My back is not as good as it used to be... Could you help me by slaying the Forge Master within the Abadoned mine and mining some Iron Ore for me? I will reward you accordingly!|Ах, я как раз искал кого-нибудь. Моя спина уже не та, что прежде... Не мог бы ты помочь мне: убей Мастера кузни в Заброшенной шахте и добудь для меня немного железной руды? Я достойно награжу тебя!
dialog_mainSecretsIron_end|Thank you so much! Highly appreciated!!! Here, take these valuables!|Огромное спасибо! Я очень признателен!!! Вот, возьми эти ценности!
dialog_mainWarlordTraining|Greetings hero! If you wish to join our clan I need you to prove your combat skills and slay a legion of undead monsters within karponia! May the gods be by your side!|Приветствую, герой! Если хочешь вступить в наш клан, ты должен доказать свое мастерство и истребить легион нежити в Карпонии! И да пребудут с тобой боги!
dialog_mainWarlordTraining_end|Hahaha.. *Bows before you*. You have made us proud brother. Take this weapon, the clan will always have your back!|Ха-ха-ха... *Кланяется тебе*. Ты заставил нас гордиться, брат. Возьми это оружие, и знай — клан всегда прикроет твою спину!
dialog_mainSoulsOfDead|Grace to you hero! The Dawn’s Chappel seeks your aid on purifying our lands of the malevolent spirits! Will you aid us?|Благодать тебе, герой! Часовня Рассвета просит твоей помощи в очищении наших земель от злых духов! Ты поможешь нам?
dialog_mainSoulsOfDead_end|Bless you hero! Take these and may the lord be with you!|Благослови тебя Господь, герой! Возьми это, и да пребудет с тобой Господь!
dialog_mainLostManual|Gosh darnit! I lost my manual inside the distorted horizons and now its filled with these weird monsters from a parallel universe. Could you help me retrieve it? I will reward you for your trouble!|Черт побери! Я потерял свое руководство в Искаженных горизонтах, а теперь там полно странных монстров из параллельной вселенной. Не мог бы ты помочь мне вернуть его? Я награжу тебя за труды!
dialog_mainLostManual_end|My manual!!! Thank you so much! Take this, hopefully it serves you better!|Мое руководство!!! Огромное спасибо! Возьми это, надеюсь, тебе оно послужит лучше!
dialog_mainEightLegMonst|Hello stranger! I see you have quite the equipment there! You look just like someone I was trying to find. Would you help us remove an eight legged problem that our town is having?|Привет, незнакомец! Гляжу, у тебя неплохое снаряжение! Ты выглядишь как раз тем, кого я искал. Не поможешь ли нам решить одну «восьминогую» проблему нашего города?
dialog_mainEightLegMonst_end|Finally! I can go explore the caves now! I found this stone that looks valuable, you might make more use of it.|Наконец-то! Теперь я могу исследовать пещеры! Я нашел этот камень, он выглядит ценным. Думаю, ты найдешь ему лучшее применение.
||
[Hell Quest]||
dialog_mainGrandPurge|Ah.. I was just looking for you. The undead are getting out of control! Could you help us contain them?|А... Я как раз искал тебя. Нежить выходит из-под контроля! Можешь помочь нам сдержать их?
dialog_mainGrandPurge_end|Marvellous! Here is your reward!|Чудесно! Вот твоя награда!
dialog_mainProtectWilderness|Greetings hero! Our troops are falling short and we are in dire need of reinforcements! Will you join and help us slay the undead and stack our food storages?|Приветствую, герой! Нашим войскам приходится туго, и нам срочно нужно подкрепление! Поможешь нам истребить нежить и пополнить запасы продовольствия?
dialog_mainProtectWilderness_end|Great work! Here, take these for your trouble!|Отличная работа! Вот, возьми это за свои труды!
dialog_mainFreeSpirits|Good day hero! The lands of Mos’Arathim have encountered some kind of curse. We would appreciate a helping hand with freeing trapped souls within the deserts.|Добрый день, герой! На земли Мос'Аратима пало проклятие. Мы будем признательны за помощь в освобождении душ, заточенных в пустынях.
dialog_mainFreeSpirits_end|Bless you! Here is your reward!|Благослови тебя Господь! Вот твоя награда!
dialog_mainTarethiumsEssence|Splendid day hero! I am looking for some tarethium ores. Would you be interested in mining some for me? I will reward you greatly!|Чудесный день, герой! Я ищу руду таретия. Не желаешь добыть немного для меня? Я щедро награжу тебя!
dialog_mainTarethiumsEssence_end|Excellent!! Here is a reward that should make you really happy!|Превосходно!! Вот награда, которая тебя точно обрадует!
dialog_mainWarlordsCommand|Greetings hero! Are you ready for the ultimate combat training? |Приветствую, герой! Ты готов к высшей боевой подготовке?
dialog_mainWarlordsCommand_end|You are a true warrior! Take these!|Ты истинный воин! Возьми это!
dialog_mainPurification|Blessed day stranger! We seek your aid in purifying the lands of unholy forces. Will you accept?|Благословенный день, странник! Мы ищем помощи в очищении земель от нечестивых сил. Ты согласен?
dialog_mainPurification_end|God bless you! May these riches bless your day!|Да благословит тебя Бог! Пусть эти богатства скрасят твой день!
dialog_mainFixingGlitches|Oh boy... We messed up big time and caused a bunch of glitches. Will you help us?|Ох, боже... Мы крупно облажались и вызвали кучу глюков. Поможешь нам?
dialog_mainFixingGlitches_end|Phew... That was close. Here, take this for your journey!|Фух... Едва пронесло. Вот, возьми это в дорогу!
dialog_mainCleansingValhalla|Uh oh... The townsfolk are scared to go out of the town, there are undead everywhere!! Please help us hero!|Ой-ой... Горожане боятся выходить за стены, повсюду нежить!! Пожалуйста, помоги нам, герой!
dialog_mainCleansingValhalla_end|We are eternally grateful for your help! Please take these as a token of appreciation!|Мы бесконечно благодарны за помощь! Пожалуйста, прими это в знак признательности!
||
[Inferno Quest]|| 
dialog_fallOfDarkness|We need to bring an end to the darkness.. We must slay Gabriel and Amun-Ra, the sooner the better.. For all of us..|Мы должны положить конец тьме... Мы должны сразить Гавриила и Амон-Ра, и чем скорее, тем лучше... Ради всех нас...
dialog_fallOfDarkness_end|I bow before you noble hero! We will forever be grateful for what you have done for us all!|Я преклоняюсь перед тобой, благородный герой! Мы вечно будем благодарны за то, что ты сделал для всех нас!
dialog_theLightOfDawn|Please.. Help us!! The forces of evil are growing too strong! |Пожалуйста... Помоги нам!! Силы зла становятся слишком могущественны!
dialog_theLightOfDawn_end|Thank you noble warrior.. Take these as a token of our appreciation!|Спасибо, благородный воин... Прими это в знак нашей признательности!
|| 
[Halloween Quest]|| Что тебя так долго держало?! Учитывая, как ты медленно шел
halloween_event_0|This looks like a good place to hang the skull.|Похоже, это отличное место, чтобы повесить череп.
halloween_event_1|Oooooh what a headache... I'm never having that much pumpkin ale again. Hey, where am I? Who are you? I can't feel my legs... I can't feel any of my body parts! But I can feel that friendly maggot in my eye socket. Hey you, my minion! Go fetch rest of... Well, me.|О-о-о, ну и головная боль... Больше никогда не буду пить столько тыквенного эля. Эй, где я? Кто ты? Я не чувствую ног... Я вообще никаких частей тела не чувствую! Зато чувствую дружелюбного червяка в глазнице. Эй ты, мой слуга! Принеси остальную часть... Ну, меня.
halloween_event_2|What took you so long?! Considering how slow you were, you are going to need that backbone much more than I do. BWAHAAHAHHA! No please, don't take it back...|Что так долго?! Судя по твоей скорости, хребет тебе нужнее, чем мне. БУ-ГА-ГА-ГА! Нет-нет, пожалуйста, не забирай его обратно...
halloween_event_3|Aah, my right hand and my pelvis. Can you name more dynamic duo? Peanut and butter you say? Well I guess you are right... Get back in there, I'm only half a skeleton! Or half-a-ton BWAHAhahaa... Oh nevermind...|А-а, моя правая рука и таз. Назовешь дуэт динамичнее? Арахис и масло, говоришь? Ну, пожалуй, ты прав... А ну вернись туда, я же только наполовину скелет! Или полтонны... БУ-ГА-ГА... Ой, забудь...
halloween_event_4|Finally, I have both of my arms! And since you are such a slacker, I might just lift myself off this pole and run to freedom! Uhm... crawl to freedom. Oh, who am I kidding. Handsome guy like me is nothing with out his beautiful legs!|Наконец-то обе руки при мне! И раз уж ты такой лентяй, я, пожалуй, сам сниму себя с этого столба и побегу на волю! Эм... поползу на волю. Ох, кого я обманываю. Такой красавчик, как я — ничто без своих прекрасных ног!
halloween_event_5|Are you ready for a race? Let's see who is first to get outside of the town using only one leg. You think that I'm going to escape? No, of course not! I promise I'll hang myself back to this lovely pole after the race. Oh, screw you! Go fetch my other leg, you fleshy scumbag!|Готов к гонке? Посмотрим, кто первым выберется из города на одной ноге. Думаешь, я сбегу? Нет, конечно! Обещаю, после гонки я повешусь обратно на этот чудесный столб. Ой, да пошел ты! Принеси мою вторую ногу, мешок с мясом!
halloween_event_6|I've got to say, you impress me with your dedication. For all your troubles, I'm going to give you this hat. Some dude named Herry Patter gave it to me at the Halloween party and I can't stand it. It just keeps talking and talking about school stuff. So now, how about letting me down so I can go sleep this headache away? What do you mean I'm a Halloween decoration?! When I get down from here, I sure have a bone to pick with you #!%@&!|Должен признать, твое усердие впечатляет. За твои труды я дам тебе эту шляпу. Один чувак по имени Хэрри Пэттер подарил мне ее на вечеринке, и я ее терпеть не могу. Она болтает и болтает про какую-то школу. А теперь, может, снимешь меня, чтобы я мог отоспаться? В смысле я — украшение на Хэллоуин?! Ну погоди, вот слезу отсюда, и у нас с тобой будет разговор... до мозга костей, #!%@&!
halloween_line_1|Hey, thanks for letting me hang over here. And since I'm a nice skeleton, I wish you would be hanging here instead. This is so much fun...|Эй, спасибо, что оставил меня тут висеть. И раз уж я добрый скелет, желаю тебе повисеть тут вместо меня. Это так весело...
halloween_line_2|Sometimes you have to create your own entertainment. You should have seen Dr. Tinker Dink's face when he walked past me and I scared him! His goggles flew across the town BWAHAHAHA!|Иногда приходится развлекать себя самому. Видел бы ты лицо доктора Тинкера Динка, когда я напугал его! Его очки улетели через весь город! БУ-ГА-ГА-ГА!
halloween_line_3|That monk is one selfish bastard. Are you listening to that guy? Just repeating his name over and over for a long period of time. I hate people who are full of themselves.|Этот монах — самовлюбленный ублюдок. Ты слышал его? Повторяет свое имя снова и снова. Ненавижу таких эгоцентричных типов.
halloween_line_4|Landlord Kukkonen is talking something about 'I have a dream'. But I've seen him drink that moonshine people have been collecting for him. Maybe that's his dream?|Домовладелец Кукконен бормочет что-то про «У меня есть мечта». Но я видел, как он глушит самогон, который ему приносят люди. Может, это и есть его мечта?
halloween_line_5|You know what's really annoying? People who snore! And even more annoying is when Gar Nor is yelling while he is asleep. He yelled something about 'Don't go over there!'|Знаешь, что реально бесит? Люди, которые храпят! А еще больше бесит, когда Гар Нор орет во сне. Он кричал что-то типа: «Не ходи туда!»
halloween_line_6|Sarcaster thinks he is soooo funny. He offered me coffee. Said it's gonna make me happy and give me some energy. Sure, skeleton hanging like a ragdoll needs energy. What an ass...|Саркастер думает, что он та-а-акой смешной. Предложил мне кофе. Сказал, что это взбодрит и даст энергии. Ага, скелету, висящему как тряпичная кукла, очень нужна энергия. Вот придурок...
halloween_line_7|Magister Kujala thinks I'm some sort of lab rat. He tried some abrakadabra stuff on me but everything failed. He should practice that hocus-pocus a bit more.|Магистр Куджала думает, что я подопытная крыса. Пытался колдовать на мне всякую абракадабру, но ничего не вышло. Ему стоит попрактиковаться в своих фокусах-покусах.
halloween_line_8|Jack The Ripper. More like Jack The Rip off! I can't believe someone would actually sell stuff to him. And he offers a 'service' where he takes you relics. Oh, you've done those things? Aaaawkwaaaaaard...|Джек Потрошитель? Скорее Джек-Обдирала! Не верю, что кто-то реально ему что-то продает. И еще эта его «услуга», где он забирает твои реликвии. Ой, ты этим пользовался? Нелоооовко вышло...
quest_halloween_1|Hello there beauty... Would you kindly help me with something? Oh, aren't you as sweet as a pumpkin pie!|Привет, красавчик... Не поможешь мне кое с чем? Ох, ты сладок, как тыквенный пирог!
quest_halloween_2|All girls want a present every now and then. Would you kindly get me one?|Все девочки хотят подарков время от времени. Не будешь ли так любезен достать мне один?
quest_halloween_3|I'm sick of those chickens. I can hear them all the way from the frozen land. Pluck their feathers for me, I have an idea.|Меня тошнит от этих куриц. Я слышу их даже из ледяных земель. Ощипай их для меня, у меня есть идея.
quest_halloween_4|Don't you just hate Grim Reaper? He takes care of the dead but now he is trying to control the living. Go show him who is the boss!|Разве ты не ненавидишь Мрачного Жнеца? Он присматривает за мертвыми, но теперь пытается контролировать живых. Иди и покажи ему, кто здесь главный!
quest_halloween_5|A lot of interesting creatures live in the desert. I want to study what I could do with them. Or with their body parts, hehe.|В пустыне живет много интересных тварей. Хочу изучить, что я могу с ними сделать. Или с их частями тела, хе-хе.
quest_halloween_6|Another lord of Death is threatening me. Can you believe that?! I'm just a young beautiful lady. Will you help a lady in need?|Еще один повелитель Смерти угрожает мне. Ты можешь в это поверить?! Я ведь всего лишь юная прекрасная леди. Поможешь даме в беде?
quest_halloween_7|Damien approached me and it sounded like thousand heads were yelling at me. I have something for you to shut those heads up!|Дэмиен приблизился ко мне, и это звучало так, будто на меня орут тысячи голов. У меня есть кое-что для тебя, чтобы заткнуть эти головы!
||
[Valhalla Side Quest]|| 
dialog_valhallaHungryHaldor|One more thing! You just got here so you must be hungry! I have a small campfire right here, and I think you should eat something. There is a rumor of a Legendary Boar roaming around here, see if you can slay him for food!|И вот еще что! Ты только прибыл, наверняка проголодался! У меня тут костерок, надо бы перекусить. Ходят слухи о Легендарном кабане неподалеку. Попробуй убить его ради мяса!
dialog_valhallaHungryHaldor_end|By Odin’s beard, that is a good looking beef! Care to share some, traveler?|Клянусь бородой Одина, отличный кусок мяса! Не поделишься, путник?
dialog_valhallaHurrdurr|Heyyyyyy! You! Yes, you! I am Hurrdurr and I love riding my mining cart all over the place. Some mean monsters just stole the wheels of my cart and left laughing. Can you believe that? Please find the wheels and attach them back to my cart so I can go [shake_letter][c_yellow]fast![c_reset][shake_reset]|Э-э-эй! Ты! Да, ты! Я Хурдурр, и я обожаю гонять на своей вагонетке повсюду. Злые монстры украли колеса от моей вагонетки и ушли, смеясь. Ты можешь в это поверить? Пожалуйста, найди колеса и приделай их обратно, чтобы я мог мчаться [shake_letter][c_yellow]быстро![c_reset][shake_reset]
dialog_valhallaHurrdurr_end|Nice, with wheelz on this bad boy nothing is ever going to stop me!|Круто! С колесами на этой тачке меня ничто не остановит!
dialog_valhallaBaldurMuspelheim|Questii tarjolla!|Есть задание!
dialog_valhallaBaldurMuspelheim_end|Questi ois valamis!|Задание выполнено!
dialog_valhallaFroyaSkins|Hej! I've been trying to combat these Nagas to clear out these flooded plains for rebuilding. These creatures are tough and I'd need to match that. Could you collect me some Naga scales so I can craft myself a proper armor to have a fighting chance?|Хей! Я пытаюсь сражаться с этими нагами, чтобы расчистить затопленные равнины для восстановления. Эти твари крепкие, и мне нужно им соответствовать. Не мог бы ты собрать для меня чешую нагов? Я сделаю себе нормальную броню, чтобы иметь хоть какие-то шансы в бою.
dialog_valhallaFroyaSkins_end|Your efforts are much appreciated. Once I craft this armor I'll be able to slay these Naga snakes like there is no tomorrow!|Я очень ценю твои усилия. Как только я создам броню, буду крошить этих змей-нагов направо и налево!
dialog_valhallaTiredViking|Hey you! Please... the sickness... of this land... it got me. I am weak... too weak to continue my journey. I... have a recipe... for healing potion... Could you... help *cough cough* me? |Эй, ты! Пожалуйста... болезнь... этой земли... она добралась до меня. Я слаб... слишком слаб, чтобы идти дальше. У меня есть... рецепт... целебного зелья... Не мог бы ты... помочь *кхе-кхе* мне?
dialog_valhallaTiredViking_end|You…. You came back! I can not thank you enough… Praise the old gods!|Ты... Ты вернулся! Не знаю, как и благодарить тебя... Слава старым богам!
dialog_valhallaTiredViking_01|[shake_letter][c_lime]*Chug chug chug*... I can feel it working!|[shake_letter][c_lime]*Глот-глот-глот*... Я чувствую, как оно действует!
dialog_valhallaTiredViking_02|[shake_letter][c_yellow]I feel strange...|[shake_letter][c_yellow]Я чувствую себя странно...
dialog_valhallaTiredViking_03|[shake_letter][c_red]The darkness comes for you too!|[shake_letter][c_red]Тьма придет и за тобой!
||
odin_boss_intro|There is no denying fate.[pause,15] [pause,0][nl]It was written that one day I shall rule the afterlife as I please, and that you'd be the catalyst for my reign.[pause,15] [pause,0][nl]Today you have fulfilled your part in the plan of the ancients and I have no further use for you.[pause,30] [pause,0][nl]You are hereby banished from death![pause,30] [pause,0]| Этот портал приведет нас к реке Гьёлль. Он почти готов.
||
helheim_npc_portal|This portal will take us close to river Gjöll. It's almost ready, I just need a few more moments to channel it... Please excuse me, I have to concentrate my power to the portal...|Этот портал перенесет нас к реке Гьёлль. Он почти готов, мне нужно еще пару мгновений для настройки... Прошу прощения, я должен сосредоточить силу на портале...
helheim_npc_elder|Tomorrow we shall continue to river Gjöll, towards the gates of Helheim.|Завтра мы продолжим путь к реке Гьёлль, к вратам Хельхейма.
helheim_npc_child|I'm so excited to finally see Helheim! My parents said they can finally rest and play with me then.|Я так рад наконец увидеть Хельхейм! Родители сказали, что тогда они наконец смогут отдохнуть и поиграть со мной.
helheim_npc_anxious|I'm done with these perilous caves and creatures… I was hoping death would be the end...|С меня хватит этих опасных пещер и тварей... Я надеялся, что смерть станет концом...
helheim_npc_peaceful|Ah, will you join me and enjoy this moment of respite?|О, присоединишься ко мне, чтобы насладиться моментом передышки?
helheim_npc_wood|I used to be a lumberjack... And I still am! There's nothing more relaxing than chopping up some wood.|Я был лесорубом... И остаюсь им! Нет ничего более расслабляющего, чем рубка дров.
dialog_valhallaPurge|Well hello there!|Ну привет!
dialog_valhallaRiver|I was worried nobody would accompany me cross the river today. Lately there have been more folks than my ol' boat can carry. Didn't you see any of those poor souls on your way? Nevermind, you must been keen on getting to rest already. Let me cross you over your final obstacle...|Я уж боялся, что сегодня никто не переправится со мной через реку. В последнее время народу больше, чем может выдержать моя старая лодка. Не встречал никого из этих бедных душ по пути? Неважно, ты наверняка уже хочешь отдохнуть. Давай я переправлю тебя через последнее препятствие...
dialog_valhallaRiver_1|Ah, it looks like our path is blocked. There must be a way to open the gate! Perhaps head to the land to see if you can find something?|Ах, похоже, путь перекрыт. Должен быть способ открыть врата! Может, вернешься на берег и поищешь что-нибудь?
dialog_valhallaRiver_2_normal|Well done! I am sure that was an easy task for a great warrior like you [heroname]. This is the last stretch. May the Allfather bless your way.|Отлично сработано! Уверен, для такого великого воина, как ты, [heroname], это было проще простого. Остался последний рывок. Да благословит Всеотец твой путь.
dialog_valhallaRiver_2_nmhell|This is the last stretch. May the Allfather bless your way.|Это последний рывок. Да благословит Всеотец твой путь.
dialog_valhallaRiver_3|This path will lead you to the Gates of Helheim. Proceed with caution, as you never know what could be lurking ahead. Beware, even in the afterlife, you can very well get killed [heroname]…|Этот путь приведет тебя к Вратам Хельхейма. Будь осторожен, никогда не знаешь, что может таиться впереди. Берегись: даже в загробной жизни тебя вполне могут убить, [heroname]...
dialog_valhallaRiver_complete|We did it! We slayed the beast! Thank you for helping me with that. Don’t feel bad if you felt scared, most souls do when they encounter a terrifying beast.|Мы сделали это! Мы сразили чудовище! Спасибо за помощь. Не стыдись своего страха, большинство душ пугаются при виде такого зверя.
dialog_valhallaRiver_Gates|Now, go through those gates and fulfill your destiny!|А теперь ступай через врата и исполни свое предназначение!
ferryman_idle_1|Row, row, row your boat...|Плыви, плыви, моя лодка...
ferryman_idle_2|I'll just hang here a while, you go on and do your thing...|Я тут пока поторчу, а ты иди, делай свои дела...
ferryman_lets_go|Just hop on and we'll be on our way!|Запрыгивай, и в путь!
ferryman_shoutbox_1|By my paddle! The gate has closed! |Клянусь моим веслом! Врата закрылись!
ferryman_shoutbox_2|GAAAH! What is that?!|АААА! Что это?!
ferryman_shoutbox_3|I’m needed elsewheREEEE!! AAGH!|Я нужен в другом меЕЕЕЕсте!! АААГХ!
ferryman_other_side|I'll meet you on the other side!|Встретимся на той стороне!
valhalla_troll_patrol_start|Hello there hero! Could I have a minute of your time? |Привет, герой! Можно тебя на минутку?
valhalla_troll_patrol_yes|Great, we have a small shelter here by the rocks, can you come with me, I'll show you. We can talk safely there. |Отлично, у нас тут небольшое укрытие в скалах. Пойдем со мной, я покажу. Там можно поговорить безопасно.
valhalla_troll_patrol_no|Oh okay, perhaps another time then... |Ох, ладно, тогда как-нибудь в другой раз...
valhalla_troll_patrol_complete|Thank you so much, you can not imagine what help you brought to us... Our chances at surviving this place just got bigger! |Огромное спасибо! Ты даже не представляешь, как выручил нас... Теперь наши шансы выжить здесь стали выше!
valhalla_troll_patrol_trolls|Trolls! They are on to us!|Тролли! Они нас обнаружили!
valhalla_troll_patrol_killed|That was a close one... I can not thank you enough, hero. |Едва пронесло... Не знаю, как и благодарить тебя, герой.
valhalla_troll_patrol_one_more|Do you recon we could get one more load? |Как думаешь, успеем сделать еще одну ходку?
valhalla_troll_patrol_mid|Is it done?|Готово?
bounty_board_collect_bounty|Collect Bounty!|Забрать награду!
bounty_board_quest_complete|Next assignment will be posted in [c_lime][var,hourLeft] hours and [var,minuteLeft] minutes.[c_reset]|Следующее задание будет доступно через [c_lime][var,hourLeft] ч. и [var,minuteLeft] мин.[c_reset]
bounty_board_empty|It's empty... Next assignment will be posted in [c_lime][var,hourLeft] hours and [var,minuteLeft] minutes.[c_reset]|Пусто... Следующее задание будет доступно через [c_lime][var,hourLeft] ч. и [var,minuteLeft] мин.[c_reset]
bounty_board_on_quest|You still have [c_lime][var,hourLeft] hours and [var,minuteLeft] minutes to complete the quest![c_reset]|У вас осталось [c_lime][var,hourLeft] ч. и [var,minuteLeft] мин.[c_reset] на выполнение задания!
bounty_board_multiple|There are multiple bounties listed. Which one would you like to see?|Доступно несколько заказов. Какой вы хотите просмотреть?
bounty_board_info|Bounty Board serves as a place for the people of Tarethiel to request assistance with any issues they deem serious enough to ask help with. It looks like [c_yellow][var,assigneeName][c_reset] is in need of assistance.[nl][c_lime]The assignment expires in [var,hourLeft] hours and [var,minuteLeft] minutes.[c_reset]|Доска розыска — это место, где жители Таретиэля просят помощи в серьезных делах. Похоже, [c_yellow][var,assigneeName][c_reset] нуждается в поддержке.[nl][c_lime]Задание истекает через [var,hourLeft] ч. и [var,minuteLeft] мин.[c_reset]
odin_good_quest|Is it over? For a moment, I felt the weight of Valhalla's fall, as if the very fabric of our realm had been torn asunder. The threads that bound us to the land's heart were frayed, and I feared that all was lost... but now, with your triumph, those threads are mended, and the light of Asgard shines brighter than ever.|Неужели все кончено? На мгновение я ощутил тяжесть падения Вальхаллы, будто сама ткань нашего мира была разорвана. Нити, связывающие нас с сердцем этой земли, истрепались, и я боялся, что все потеряно... Но теперь, благодаря твоей победе, эти нити восстановлены, и свет Асгарда сияет ярче, чем когда-либо.
odin_good_common|The darkness that corrupted me has been vanquished, and the true Odin stands before you once more. I was shrouded in a mist of despair, my heart frozen by the shadows that sought to consume us all. But your bravery has shattered that veil, and the nine realms are saved. May the blessings of the All-Father be upon you, and may your name be etched into the annals of Valhalla's history.|Тьма, что осквернила меня, побеждена, и истинный Один вновь стоит перед тобой. Я был окутан туманом отчаяния, мое сердце сковали тени, жаждавшие поглотить нас всех. Но твоя храбрость разорвала эту пелену, и девять миров спасены. Да пребудет с тобой благословение Всеотца, и пусть имя твое будет вписано в летописи Вальхаллы навеки.
troll_patrol_room_astrid|Praise be!|Хвала небесам!
troll_patrol_room_npc1|Boy I sure hope nothing bad will happen to us later.|Ох, надеюсь, с нами ничего плохого не случится.
troll_patrol_room_npc2|Have you heard about Hurrdurr?|Ты слышал о Хуррдурре?
troll_patrol_room_npc5|Boy I sure hope nothing bad will happen to us later.|Ох, надеюсь, с нами ничего плохого не случится.
valkyrie_gate_stones|Maybe the gate is connected to the stone platforms...|Может быть, врата связаны с каменными платформами...
valkyrie_gate_haldor|Maybe I should talk to Haldor first?|Может, мне стоит сначала поговорить с Халдором?
tutorial_sign_1_mobile|You can attack by pressing the buttons on the bottom right corner.|Атакуйте, нажимая кнопки в правом нижнем углу.
tutorial_sign_1|You can attack with your [Mouse]|Вы можете атаковать с помощью [Мыши]
tutorial_sign_1_gamepad|You can attack with your|Вы можете атаковать с помощью
tutorial_sign_2_mobile|Set your abilities by tapping the talent tree icon in the top right corner.|Настройте способности, нажав на иконку дерева талантов в правом верхнем углу.
tutorial_sign_2|Set your abilities by pressing|Настройте способности, нажав
tutorial_sign_3_mobile|Open your inventory by tapping the sword icon in the top right corner.|Откройте инвентарь, нажав на иконку меча в правом верхнем углу.
tutorial_sign_3|Open your Inventory by pressing|Откройте инвентарь, нажав
tutorial_sign_4_mobile|You can jump over the ledge by tapping the jump button on the right side of the screen.|Вы можете перепрыгнуть через уступ, нажав кнопку прыжка справа.
tutorial_sign_4|You can jump over the ledge by pressing|Вы можете перепрыгнуть через уступ, нажав
tutorial_sign_5|WANTED - Scorchwood - The town needs that marauding ent scorched! - Landlord Kukkonen, Mayor of Inoya|РАЗЫСКИВАЕТСЯ: Скорчвуд. Городу нужно сжечь этого мародерствующего энта! — Домовладелец Кукконен, мэр Инойи.
angelic_realm_open|Hero, you shall be granted one of Heaven's reward. The gate to the left will grant you the powers no man has seen before. The gate to the right strengthens obtained power even more.|Герой, тебе будет дарована одна из небесных наград. Врата слева даруют силы, невиданные ранее. Врата справа усилят обретенную мощь еще больше.
angelic_realm_choice|Which reward shall you choose, Hero of Tarethiel?|Какую награду ты выберешь, Герой Таретиэля?
angelic_realm_left|Armor Augment|Усиление брони
angelic_realm_right|Upgrade Augment|Улучшение усиления
angelic_realm_left_chosen|Very well, you shall be granted an Angelic augment.|Очень хорошо, тебе будет даровано Ангельское усиление.
angelic_realm_right_chosen|Very well, your armor shall receive the Angelic blessing.|Очень хорошо, твоя броня получит Ангельское благословение.
angelic_realm_farewell|Farewell Hero. You and I shall meet again in the future.|Прощай, Герой. Мы еще встретимся в будущем.
fortune_teller_1|Hello there traveler! I can show you your future, if you are brave enough and willing to look into eternity..|Приветствую, путник! Я могу показать твое будущее, если ты достаточно смел и готов заглянуть в вечность...
fortune_teller_2|Let´s see.. The crystal ball shows me this artifact [ITEM]. May the allfather bless you in your path! |Посмотрим... Хрустальный шар показывает мне этот артефакт: [ITEM]. Да благословит тебя Всеотец в твоем пути!
fortune_teller_3|Your fortune is about to be fullfilled. Be patient and trust in the cosmos.. |Твое предсказание вот-вот сбудется. Будь терпелив и доверься космосу...
